ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice,12th choice
000601-00-1381, C01,C02,C03,C05,C07,C09,C08,C11,C12,C06,,
000601-00-1384, C01,C12,C02,C03,C04,C08,C05,C07,C09,C10,C11,C06
000601-00-1387, C01,C04,C06,C10,C08,C12,,,,,,
000601-00-1388, C01,,,,,,,,,,,
000601-00-1390, C01,C06,C08,C09,,,,,,,,
000601-00-1408, C01,C11,,,,,,,,,,
000601-00-1410, C01,C02,,,,,,,,,,
000601-00-1417, C01,C11,,,,,,,,,,
000601-00-1436, C01,C02,C12,C05,C08,,,,,,,
000601-00-1450, C01,C04,C09,C10,C11,,,,,,,
000601-00-1484, C01,C03,C04,C07,C11,,,,,,,
000601-00-1493, C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12
000601-00-1494, C01,C02,C04,,,,,,,,,
000601-00-1500, C01,C04,C11,C12,C10,C09,C06,C03,C08,,,
000601-00-0129, C01,C06,C08,,,,,,,,,
000601-00-0137, C01,C04,C07,C11,,,,,,,,
000601-00-0145, C01,WI02,C03,C10,,,,,,,,
000402-00-0005, C01,C10,C08,C04,C07,C06,,,,,,
000402-00-0031, C01,C11,C04,C07,C02,C03,C06,C08,,,,
000402-00-0057, C01,C11,C04,C05,C02,,,,,,,
000402-00-0067, C01,,,,,,,,,,,
000402-00-0087, C01,C06,C08,,,,,,,,,
000402-00-0088, C01,C07,C08,,,,,,,,,
000402-00-0105, C01,C04,C05,C07,C11,,,,,,,
000402-00-0128, C01,C06,C04,C03,C11,C10,C09,C08,C07,C02,C12,
000402-00-0142, C01,C12,C03,C09,C11,C07,,,,,,
000402-00-0144, C01,C04,C05,,,,,,,,,
000402-00-0163, C01,C04,C05,C07,C11,,,,,,,
000402-00-0191, C01,C02,C04,C08,C06,C11,,,,,,
000402-00-0195, C01,C07,C11,C04,C05,,,,,,,
000402-00-0203, C01,C04,C05,C02,C08,C12,,,,,,
000402-00-0208, C01,C11,C07,C02,C04,,,,,,,
000402-00-0210, C01,C03,C08,C04,C12,C09,,,,,,
000402-00-0214, C01,C08,C04,C02,,,,,,,,
000402-00-0233, C01,C11,,,,,,,,,,
000402-00-0249, C01,C07,C12,C11,C10,C08,C02,,,,,
000402-00-0251, C01,,,,,,,,,,,
000402-00-0282, C01,C07,C11,C04,,,,,,,,
000402-00-0295, C01,C04,C11,,,,,,,,,
000402-00-0305, C01,C02,C05,,,,,,,,,
000402-00-0318, C01,,,,,,,,,,,
000402-00-0326, C01,C02,C05,C08,C12,C07,,,,,,
000402-00-0346, C01,C02,C10,C04,C05,C12,C06,,,,,
000402-00-0353, C01,C06,C08,,,,,,,,,
000402-00-0360, C01,C04,C05,C07,C11,,,,,,,
000402-00-0376, C01,C02,C05,C08,C12,C07,,,,,,
000402-00-0403, C01,C05,C04,C07,C11,C12,,,,,,
000402-00-0410, C01,C10,C04,,,,,,,,,
000402-00-0474, C01,,,,,,,,,,,
000402-00-0479, C01,C10,C08,C06,C04,,,,,,,
000402-00-0485, C01,C04,C05,C07,C08,C12,C02,C03,C11,C06,C09,C10
000402-00-0490, C01,C08,C07,C02,C10,C06,,,,,,
000402-00-0494, C01,C07,C11,C08,C10,C09,,,,,,
000402-00-0502, C01,C06,C03,C08,C04,C12,C02,C09,C10,C07,C11,C05
000402-00-0513, C01,C06,C05,C10,C04,C02,C11,C08,C03,C12,C07,C09
000402-00-0521, C01,C11,C05,C04,C07,C03,C09,C08,C10,C06,C12,C02
000402-00-0526, C01,C02,C03,,,,,,,,,
000402-00-0537, C01,C08,C02,C03,C11,,,,,,,
000402-00-0548, C01,C06,C08,C04,C05,C11,C10,C03,C02,C12,C09,C07
000402-00-0553, C01,C08,C06,C05,,,,,,,,
000402-00-0571, C01,C07,C06,,,,,,,,,
000402-00-0605, C01,,,,,,,,,,,
000402-00-0632, C01,C04,C06,C10,C07,,,,,,,
000402-00-0638, C01,C07,C11,C04,C02,,,,,,,
000402-00-0639, C01,C04,C03,C09,,,,,,,,
000402-00-0647, C01,C07,C03,C11,,,,,,,,
000402-00-0657, C01,C06,,,,,,,,,,
000402-00-0696, C01,,,,,,,,,,,
000402-00-0717, C01,C06,C10,C09,,,,,,,,
000402-00-0724, C01,C11,C04,C05,C07,,,,,,,
000402-00-0732, C01,C11,C04,C05,C07,,,,,,,
000402-00-0739, C01,C04,,,,,,,,,,
000402-00-0780, C01,C02,C04,C07,C12,,,,,,,
000402-00-0782, C01,C02,C04,C12,C07,,,,,,,
000402-00-0805, C01,C08,C06,C04,,,,,,,,
000402-00-0822, C01,C03,C06,C05,C04,,,,,,,
000402-00-0840, C01,C03,C04,C06,C09,C10,C12,,,,,
000402-00-0867, C01,C11,C07,C05,C04,C02,C12,C09,,,,
000402-00-0871, C01,C05,C12,C07,,,,,,,,
000402-00-0879, C01,C08,C05,C02,C10,C07,C12,C03,,,,
000402-00-0893, C01,C04,C05,C07,C11,,,,,,,
000402-00-0913, C01,C11,,,,,,,,,,
000402-00-0970, C01,C02,C07,C04,C05,,,,,,,
000402-00-0999, C01,C08,C05,C02,C10,C07,C12,C03,,,,
000402-00-1015, C01,,,,,,,,,,,
000402-00-1028, C01,C08,C09,C06,C10,C11,C12,C04,C03,C02,,
000402-00-1050, C01,C06,C04,C11,C02,C07,C08,C09,C10,C03,C05,C12
000402-00-1064, C01,C02,C03,,,,,,,,,
000402-00-1072, C01,C11,C08,,,,,,,,,
000402-00-1073, C01,C11,C08,C09,C06,C02,C03,C04,C05,C10,C12,C07
000402-00-1107, C01,C06,C08,,,,,,,,,
000402-00-1119, C01,,,,,,,,,,,
000402-00-1130, C01,,,,,,,,,,,
000402-00-1136, C01,C04,C07,C08,,,,,,,,
000402-00-1146, C01,C04,C05,C07,C11,,,,,,,
000402-00-1158, C01,C11,C08,C04,C06,,,,,,,
000402-00-1159, C01,,,,,,,,,,,
000402-00-1164, C01,,,,,,,,,,,
000402-00-1219, C01,C03,,,,,,,,,,
000402-00-1222, C01,C02,C06,C09,C10,,,,,,,
000402-00-1289, C01,C08,C05,,,,,,,,,
000402-00-1299, C01,,,,,,,,,,,
000402-00-1326, C01,C04,C02,,,,,,,,,
000402-00-1328, C01,C02,C03,C08,C09,C04,,,,,,
000402-00-1338, C01,C05,C08,C02,C04,,,,,,,
000402-00-1345, C01,C02,C09,C04,C11,C06,,,,,,
000402-00-1380, C01,C03,C06,,,,,,,,,
000402-00-1389, C01,C11,C07,C05,C04,,,,,,,
000402-00-1392, C01,C04,C02,C08,C06,,,,,,,
000402-00-1393, C01,C04,C08,C06,C02,,,,,,,
000402-00-1417, C01,C04,C05,C07,C11,,,,,,,
000402-00-1451, C01,C03,C07,C11,C05,C08,C04,C10,C09,C06,C02,
000402-00-1453, C01,C02,C07,C04,,,,,,,,
000402-00-0126, C01,C11,C03,C05,C06,C08,,,,,,
000402-00-0129, C01,C05,C08,C09,C04,C12,C02,,,,,
000303-00-0004, C01,C06,,,,,,,,,,
000303-00-0007, C01,C08,,,,,,,,,,
000303-00-0017, C01,C06,,,,,,,,,,
000303-00-0041, C01,C11,C04,C05,C07,C08,C09,C10,C12,C02,C03,C06
000303-00-0052, C01,C02,C04,C12,C06,C07,,,,,,
000303-00-0057, C01,,,,,,,,,,,
000303-00-0060, C01,C08,C05,,,,,,,,,
000303-00-0070, C01,C11,C04,C03,C08,C10,,,,,,
000303-00-0086, C01,C06,C07,,,,,,,,,
000303-00-0101, C01,C11,C09,C06,C02,C04,,,,,,
000303-00-0110, C01,C11,,,,,,,,,,
000303-00-0113, C01,C06,C04,C10,C11,C02,C03,C07,C08,C09,C12,C05
000303-00-0117, C01,C02,,,,,,,,,,
000303-00-0136, C01,C02,C04,,,,,,,,,
000303-00-0169, C01,C02,C04,C06,C11,C12,,,,,,
000303-00-0218, C01,C12,C08,C10,C04,C07,C11,,,,,
000303-00-0220, C01,C12,,,,,,,,,,
000303-00-0243, C01,C09,C11,,,,,,,,,
000303-00-0244, C01,C09,C11,,,,,,,,,
000303-00-0248, C01,C11,C04,C07,C05,C02,C12,C03,C06,C09,C08,C10
000303-00-0253, C01,C11,C07,C04,C05,,,,,,,
000303-00-0262, C01,C04,C07,,,,,,,,,
000303-00-0283, C01,C02,C10,C07,C03,C04,C05,C06,C08,C09,C11,C12
000303-00-0284, C01,C02,C10,C07,C03,C04,C05,C06,C08,C09,C11,C12
000303-00-0289, C01,C12,C11,C05,C03,,,,,,,
000303-00-0292, C01,C07,C04,C12,C02,,,,,,,
000303-00-0303, C01,C11,C04,C07,C05,,,,,,,
000303-00-0328, C01,C07,C11,,,,,,,,,
000303-00-0346, C01,C04,C07,C11,C10,,,,,,,
000303-00-0366, C01,C07,C04,,,,,,,,,
000303-00-0371, C01,,,,,,,,,,,
000303-00-0374, C01,C04,C07,C09,C12,C10,,,,,,
000303-00-0380, C01,C04,C07,C03,C08,C05,,,,,,
000303-00-0395, C01,C04,C05,C07,C11,,,,,,,
000303-00-0403, C01,C11,C08,C05,C03,,,,,,,
000303-00-0417, C01,C04,C07,C03,C08,C05,,,,,,
000303-00-0418, C01,C04,,,,,,,,,,
000303-00-0424, C01,,,,,,,,,,,
000303-00-0463, C01,,,,,,,,,,,
000303-00-0487, C01,C07,,,,,,,,,,
000303-00-0563, C01,C11,C04,C05,C06,,,,,,,
000303-00-0595, C01,,,,,,,,,,,
000303-00-0629, C01,,,,,,,,,,,
000303-00-0649, C01,C11,C07,C03,C06,C04,,,,,,
000303-00-0657, C01,C05,C07,C11,C04,C08,C09,C02,C12,C03,C06,C10
000303-00-0690, C01,C04,C07,C11,C08,,,,,,,
000303-00-0704, C01,C07,C11,,,,,,,,,
000303-00-0716, C01,C11,C07,C05,C06,,,,,,,
000303-00-0720, C01,C06,C11,C09,C07,C04,,,,,,
000303-00-0740, C01,,,,,,,,,,,
000303-00-0749, C01,C05,C06,C07,C11,,,,,,,
000303-00-0767, C01,C04,C02,,,,,,,,,
000303-00-0776, C01,C11,C08,C10,C09,,,,,,,
000303-00-0779, C01,,,,,,,,,,,
000303-00-0782, C01,,,,,,,,,,,
000303-00-0791, C01,C11,C07,C04,C08,,,,,,,
000303-00-0793, C01,C02,C04,C07,C11,,,,,,,
000303-00-0795, C01,C05,C11,C07,,,,,,,,
000303-00-0812, C01,C04,C06,C11,,,,,,,,
000303-00-0837, C01,C07,C10,,,,,,,,,
000303-00-0851, C01,C02,C04,C08,,,,,,,,
000303-00-0866, C01,C10,C08,C04,,,,,,,,
000303-00-0867, C01,C05,C04,C11,C02,C12,C07,C10,,,,
000303-00-0894, C01,C11,C12,C04,C05,C07,C02,,,,,
000303-00-0895, C01,C04,C07,C03,C08,C05,,,,,,
000303-00-0899, C01,C07,C08,C04,C12,C06,,,,,,
000303-00-0905, C01,C02,C04,C07,C11,C06,C08,C10,,,,
000303-00-0914, C01,C08,C06,C04,,,,,,,,
000303-00-0952, C01,C11,C07,C05,C04,,,,,,,
000303-00-0958, C01,C11,C03,,,,,,,,,
000303-00-0964, C01,C11,C04,C07,C06,,,,,,,
000303-00-0969, C01,,,,,,,,,,,
000303-00-0971, C01,C07,C11,C05,,,,,,,,
000303-00-0975, C01,C07,C04,C11,,,,,,,,
000303-00-0982, C01,C02,C04,C06,C07,C08,C11,C12,C10,C03,C05,C09
000303-00-1004, C01,,,,,,,,,,,
000303-00-1014, C01,C07,C11,,,,,,,,,
000303-00-0095, C01,C04,C07,C09,C11,,,,,,,
000304-00-0021, C01,,,,,,,,,,,
000304-00-0027, C01,C03,,,,,,,,,,
000304-00-0058, C01,C11,C04,C05,C07,,,,,,,
000304-00-0079, C01,C05,C08,C10,C09,C04,,,,,,
000304-00-0083, C01,,,,,,,,,,,
000304-00-0086, C01,C04,C12,C07,,,,,,,,
000304-00-0095, C01,C03,C11,C12,C07,C05,,,,,,
000304-00-0098, C01,C12,C07,C11,C04,C02,C10,C05,C09,C08,C03,
000304-00-0107, C01,C11,C10,C07,,,,,,,,
000304-00-0114, C01,C04,C08,C07,C11,C02,,,,,,
000304-00-0151, C01,C11,C03,C12,C07,C05,,,,,,
000304-00-0162, C01,C04,,,,,,,,,,
000304-00-0165, C01,C11,C02,C03,C06,C08,C09,C10,C12,C04,C05,C07
000304-00-0184, C01,,,,,,,,,,,
000304-00-0219, C01,C04,C07,C11,C10,C05,C12,C02,,,,
000304-00-0242, C01,,,,,,,,,,,
000304-00-0248, C01,C09,C04,C03,C11,C08,,,,,,
000304-00-0260, C01,C04,C07,C11,C03,C02,C08,C09,C10,C05,C06,C12
000304-00-0335, C01,C05,C11,C06,C07,C04,,,,,,
000304-00-0377, C01,C02,C04,C10,C12,C08,,,,,,
000304-00-0397, C01,,,,,,,,,,,
000304-00-0423, C01,C02,C04,C07,C03,,,,,,,
000304-00-0430, C01,C04,C07,C11,C12,,,,,,,
000304-00-0479, C01,C02,C08,C07,,,,,,,,
000304-00-0491, C01,C04,C07,C11,,,,,,,,
000304-00-0505, C01,C12,C11,C04,,,,,,,,
000304-00-0511, C01,C04,C10,C11,,,,,,,,
000304-00-0527, C01,C08,C06,C11,C07,C05,C04,C03,C02,C12,C10,C09
000304-00-0534, C01,C06,C08,C04,C02,,,,,,,
000304-00-0539, C01,C02,C11,C12,,,,,,,,
000304-00-0556, C01,C10,C06,C04,C11,C08,C07,,,,,
000304-00-0569, C01,C04,C07,C11,C06,C02,,,,,,
000203-00-0003, C01,C12,,,,,,,,,,
000203-00-0005, C01,C12,,,,,,,,,,
000203-00-0029, C01,C04,C07,C11,C08,C06,C05,,,,,
000203-00-0042, C01,C04,C07,C11,,,,,,,,
000203-00-0066, C01,C04,C11,C08,C02,,,,,,,
000203-00-0105, C01,C06,C09,C03,C04,C11,,,,,,
000203-00-0147, C01,C04,,,,,,,,,,
000203-00-0169, C01,C02,C06,,,,,,,,,
000203-00-0187, C01,,,,,,,,,,,
000203-00-0189, C01,C06,C11,,,,,,,,,
000203-00-0190, C01,C04,C05,C10,C11,C02,C06,C03,C09,C08,C12,C07
000203-00-0198, C01,C02,C09,,,,,,,,,
000203-00-0220, C01,C10,,,,,,,,,,
000203-00-0241, C01,C08,,,,,,,,,,
000203-00-0249, C01,C04,C05,C07,C11,,,,,,,
000203-00-0251, C01,C04,C11,,,,,,,,,
000203-00-0259, C01,C11,C07,C09,C02,C04,,,,,,
000203-00-0267, C01,,,,,,,,,,,
000203-00-0281, C01,,,,,,,,,,,
000203-00-0292, C01,C04,C06,,,,,,,,,
000203-00-0312, C01,C03,C04,C06,C07,C05,,,,,,
000203-00-0315, C01,C10,,,,,,,,,,
000203-00-0319, C01,C07,C11,C04,C02,,,,,,,
000203-00-0333, C01,C04,C05,C07,C11,,,,,,,
000203-00-0337, C01,C11,,,,,,,,,,
000203-00-0339, C01,C04,C05,C07,C11,,,,,,,
000203-00-0347, C01,C04,C07,,,,,,,,,
000203-00-0365, C01,C04,C07,,,,,,,,,
000203-00-0373, C01,C05,,,,,,,,,,
000203-00-0376, C01,C05,,,,,,,,,,
000203-00-0391, C01,C06,,,,,,,,,,
000203-00-0068, C01,C07,C06,C04,C02,C11,C10,C12,C09,C03,C05,C08
000502-00-0003, C01,,,,,,,,,,,
000502-00-0004, C01,C09,C11,,,,,,,,,
000502-00-0040, C01,C04,C05,C11,C08,C07,,,,,,
000502-00-0078, C01,C11,C07,C04,C05,,,,,,,
000502-00-0097, C01,C08,C11,C06,,,,,,,,
000502-00-0114, C01,C07,C11,C05,C04,C02,C06,C12,C10,C03,C09,C08
000502-00-0123, C01,C07,C04,C08,C11,C06,,,,,,
000502-00-0128, C01,C03,C08,C10,C05,C07,,,,,,
000502-00-0134, C01,C11,C10,C07,C04,,,,,,,
000502-00-0139, C01,C07,C05,C10,C03,C08,,,,,,
000502-00-0142, C01,C11,C08,C06,,,,,,,,
000502-00-0149, C01,,,,,,,,,,,
000502-00-0202, C01,C12,C08,C02,C11,C04,C07,,,,,
000502-00-0215, C01,C06,C04,C11,C08,C02,C03,,,,,
000502-00-0229, C01,C07,C08,C06,C09,C10,C12,C03,,,,
000502-00-0249, C01,C07,C11,C12,,,,,,,,
000502-00-0256, C01,C06,C11,C04,,,,,,,,
000502-00-0260, C01,C07,C04,,,,,,,,,
000502-00-0264, C01,C06,C12,C07,C08,C11,C03,,,,,
000502-00-0314, C01,C02,C04,C07,C06,C10,,,,,,
000502-00-0331, C01,C06,C04,C11,C08,C02,C03,,,,,
000502-00-0341, C01,,,,,,,,,,,
000502-00-0351, C01,C11,,,,,,,,,,
000502-00-0362, C01,C11,C07,C02,,,,,,,,
000502-00-0364, C01,C09,C03,C06,C02,C05,,,,,,
000502-00-0373, C01,C02,C04,C07,,,,,,,,
000502-00-0391, C01,C07,C04,C06,C02,C11,,,,,,
000502-00-0400, C01,C11,C04,,,,,,,,,
000502-00-0410, C01,,,,,,,,,,,
000502-00-0427, C01,C11,C04,C02,C07,C06,C08,,,,,
000502-00-0456, C01,C08,C03,C09,C12,,,,,,,
000502-00-0462, C01,C02,,,,,,,,,,
000502-00-0483, C01,C07,C08,C06,C05,C12,,,,,,
000502-00-0518, C01,C04,C11,C05,C07,C09,,,,,,
000502-00-0534, C01,C03,C06,C11,C08,,,,,,,
000502-00-0563, C01,C05,,,,,,,,,,
000502-00-0566, C01,C04,C11,,,,,,,,,
000502-00-0591, C01,C04,C06,C11,C02,C12,C09,,,,,
000502-00-0595, C01,C07,C10,C11,C03,,,,,,,
000502-00-0602, C01,C05,C08,C06,,,,,,,,
000502-00-0635, C01,C05,C11,,,,,,,,,
000502-00-0637, C01,C02,C04,C06,C07,C03,C05,C08,C09,C10,C11,C12
000502-00-0708, C01,C04,C07,,,,,,,,,
000502-00-0715, C01,,,,,,,,,,,
000502-00-0719, C01,C08,C09,C12,,,,,,,,
000502-00-0748, C01,,,,,,,,,,,
000502-00-0794, C01,C04,C08,C06,,,,,,,,
000502-00-0798, C01,C11,C04,C06,C07,,,,,,,
000502-00-0821, C01,C04,C06,,,,,,,,,
000502-00-0841, C01,C03,C05,C06,C07,C08,C11,,,,,
000502-00-0848, C01,C03,,,,,,,,,,
000502-00-0925, C01,C02,C07,,,,,,,,,
000502-00-0973, C01,C06,C03,C11,,,,,,,,
000502-00-0985, C01,C03,,,,,,,,,,
000502-00-0986, C01,,,,,,,,,,,
000502-00-1005, C01,C08,C02,C05,,,,,,,,
000502-00-1053, C01,C05,C07,C03,,,,,,,,
000502-00-1063, C01,C05,C08,,,,,,,,,
000502-00-1078, C01,C04,C07,C11,C05,C03,C06,,,,,
000502-00-1119, C01,C11,C07,C02,C04,C06,,,,,,
000502-00-1123, C01,C06,C05,C08,,,,,,,,
000502-00-1131, C01,C07,C02,C04,C11,,,,,,,
000502-00-1153, C01,C12,C02,C03,C04,C06,C05,C07,C08,C10,C09,C11
000502-00-1157, C01,C11,C04,C05,C07,,,,,,,
000502-00-1199, C01,,,,,,,,,,,
000502-00-1208, C01,C11,C06,C04,C10,,,,,,,
000502-00-1218, C01,C04,C11,,,,,,,,,
000502-00-1235, C01,C05,C11,C02,C06,C12,C04,C03,C07,,,
000502-00-1264, C01,C11,C06,,,,,,,,,
000502-00-1275, C01,C12,C11,C04,C05,C07,C06,C09,C08,C10,C02,C03
000502-00-1276, C01,C04,C11,C12,C02,C08,,,,,,
000502-00-1287, C01,,,,,,,,,,,
000502-00-1293, C01,C07,C05,C06,C12,C11,C03,C04,C02,C09,C08,C10
000502-00-1305, C01,C03,,,,,,,,,,
000502-00-1323, C01,,,,,,,,,,,
000502-00-1374, C01,C06,C08,C05,C03,,,,,,,
000502-00-1428, C01,C04,C05,C07,C11,C02,,,,,,
000502-00-1495, C01,C11,C06,,,,,,,,,
000502-00-1498, C01,C10,C06,C04,C05,,,,,,,
000502-00-1522, C01,C06,,,,,,,,,,
000502-00-1542, C01,,,,,,,,,,,
000502-00-1552, C01,C04,C06,C07,C03,,,,,,,
000502-00-1563, C01,,,,,,,,,,,
000502-00-1564, C01,,,,,,,,,,,
000502-00-1599, C01,C04,C05,C10,C11,C12,C02,,,,,
000502-00-1606, C01,C07,C02,,,,,,,,,
000502-00-1613, C01,C04,C05,C11,C07,,,,,,,
000502-00-1615, C01,C04,C10,,,,,,,,,
000502-00-1648, C01,C11,C05,C08,C04,C12,,,,,,
000502-00-1659, C01,C02,C11,C04,C03,C06,C07,C09,,,,
000502-00-1701, C01,C04,C07,,,,,,,,,
000502-00-1715, C01,,,,,,,,,,,
000502-00-1729, C01,C07,C04,,,,,,,,,
000502-00-1760, C01,C02,C04,C06,,,,,,,,
000502-00-1785, C01,C11,C07,C05,C04,,,,,,,
000702-00-0011, C01,C11,,,,,,,,,,
000702-00-0024, C01,C07,C04,C11,C05,C02,,,,,,
000702-00-0041, C01,C07,C11,C06,C03,C02,C12,C04,,,,
000702-00-0043, C01,C06,C08,C11,C04,C07,C02,C05,C09,C10,C12,C03
000702-00-0046, C01,,,,,,,,,,,
000702-00-0050, C01,C12,C02,C04,,,,,,,,
000702-00-0113, C01,C02,C11,C09,C04,C10,C08,C05,C03,C06,C12,C07
000702-00-0141, C01,C08,C04,,,,,,,,,
000702-00-0171, C01,,,,,,,,,,,
000702-00-0192, C01,C11,C02,C03,,,,,,,,
000702-00-0198, C01,C08,C12,C07,C02,,,,,,,
000702-00-0200, C01,C04,C10,C11,C02,,,,,,,
000702-00-0230, C01,C04,C11,C07,C05,,,,,,,
000702-00-0231, C01,C07,C11,C04,C05,,,,,,,
000702-00-0252, C01,C02,C05,,,,,,,,,
000702-00-0279, C01,C02,C03,C05,C04,C07,,,,,,
000702-00-0288, C01,C02,C06,,,,,,,,,
000702-00-0313, C01,C03,C04,C12,,,,,,,,
000702-00-0317, C01,C02,C07,C11,,,,,,,,
000702-00-0319, C01,C09,C07,,,,,,,,,
