ID,,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000901-00-0194, C01,C04,,,,,,,
000901-00-0210, C01,C08,C04,C05,C07,,,,
000901-00-0234, C01,C07,C09,C05,,,,,
000901-00-0263, C01,C08,C05,C04,C02,,,,
000901-00-0287, C01,,,,,,,,
000901-00-0300, C01,C02,C03,C07,C05,C08,,,
000901-00-0315, C01,C02,,,,,,,
000901-00-0319, C01,C02,C04,C05,,,,,
000901-00-0331, C01,,,,,,,,
000901-00-0335, C01,C02,C05,C08,C04,,,,
000901-00-0352, C01,C04,C09,,,,,,
000901-00-0370, C01,C08,C07,,,,,,
000901-00-0402, C01,C02,C05,C07,,,,,
000901-00-0407, C01,C02,C09,C08,C04,,,,
000901-00-0409, C01,C06,C02,C05,C08,,,,
000901-00-0413, C01,C06,C08,C05,C02,C04,,,
000901-00-0417, C01,C06,C02,C05,,,,,
000901-00-0422, C01,C02,C04,C05,C08,,,,
000901-00-0426, C01,C02,C03,C09,C04,C08,C05,C06,C07
000901-00-0429, C01,C08,C04,,,,,,
000901-00-0501, C01,C04,C07,C09,C03,C06,,,
000901-00-0511, C01,C05,C04,C02,,,,,
000901-00-0514, C01,C02,,,,,,,
000901-00-0536, C01,,,,,,,,
000901-00-0540, C01,C08,C04,C05,C07,,,,
000901-00-0541, C01,C08,,,,,,,
000901-00-0542, C01,C08,,,,,,,
000901-00-0573, C01,C02,C07,C09,C05,C08,,,
000901-00-0576, C01,C03,C02,C06,C05,C04,,,
000901-00-0586, C01,C04,C02,C03,,,,,
000901-00-0594, C01,C02,,,,,,,
000901-00-0601, C01,C08,C04,C07,,,,,
000901-00-0618, C01,C02,C07,C04,,,,,
000901-00-0619, C01,C04,,,,,,,
000901-00-0658, C01,C03,C06,C04,,,,,
000901-00-0681, C01,C02,,,,,,,
000901-00-0694, C01,,,,,,,,
000901-00-0741, C01,,,,,,,,
000901-00-0756, C01,C02,,,,,,,
000901-00-0767, C01,C07,C08,C09,,,,,
000901-00-0788, C01,C02,C06,C07,,,,,
000901-00-0806, C01,C02,C03,,,,,,
000901-00-0807, C01,C03,C08,C05,C09,C02,,,
000901-00-0809, C01,C07,C02,C03,C05,C08,,,
000901-00-0822, C01,C03,C08,C05,C09,C02,,,
000901-00-0857, C01,C02,C04,C07,C06,,,,
000901-00-0875, C01,C02,,,,,,,
000901-00-0877, C01,,,,,,,,
000901-00-0890, C01,C04,C02,C05,,,,,
000901-00-0907, C01,C04,C02,C08,C05,C07,,,
000901-00-0921, C01,,,,,,,,
000901-00-0942, C01,C08,C03,,,,,,
000901-00-0955, C01,C02,C08,C03,C06,,,,
000901-00-0962, C01,C07,C06,C03,,,,,
000901-00-1007, C01,C07,C04,C02,C06,C03,,,
000901-00-1041, C01,C02,,,,,,,
000901-00-1043, C01,C07,C02,,,,,,
000901-00-1057, C01,,,,,,,,
000901-00-1074, C01,C07,C05,C04,C02,,,,
000901-00-1130, C01,C02,C08,,,,,,
000901-00-1134, C01,,,,,,,,
000901-00-1141, C01,C02,C04,C05,C08,C07,C06,C03,C09
000901-00-1152, C01,C02,,,,,,,
000901-00-1154, C01,C05,,,,,,,
000901-00-1218, C01,C02,C05,C07,C04,,,,
000901-00-1223, C01,C04,C02,C09,,,,,
000901-00-1316, C01,C02,C08,C05,,,,,
000901-00-0224, C01,C02,C04,C05,C06,C07,C08,C09,
000503-00-0002, C01,C02,C09,,,,,,
000503-00-0006, C01,C02,C03,,,,,,
000503-00-0020, C01,C04,C02,,,,,,
000503-00-0026, C01,C02,,,,,,,
000503-00-0055, C01,C02,,,,,,,
000503-00-0063, C01,C04,C05,C08,C09,C03,,,
000503-00-0171, C01,C04,C02,C08,C05,,,,
000503-00-0190, C01,C02,C04,,,,,,
000503-00-0227, C01,C09,C05,,,,,,
000503-00-0254, C01,C09,C08,C04,C05,,,,
000503-00-0258, C01,,,,,,,,
000503-00-0287, C01,C02,,,,,,,
000503-00-0309, C01,C04,C02,,,,,,
000503-00-0317, C01,C02,C03,C04,,,,,
000503-00-0323, C01,,,,,,,,
000503-00-0337, C01,C02,C06,C04,C05,C08,C09,C07,C03
000503-00-0347, C01,C04,C08,,,,,,
000503-00-0366, C01,C04,C02,C07,C09,,,,
000503-00-0371, C01,C09,C02,,,,,,
000503-00-0374, C01,C04,C08,,,,,,
000503-00-0376, C01,C08,C04,,,,,,
000503-00-0379, C01,C08,,,,,,,
000503-00-0404, C01,C09,C06,C03,C05,C04,,,
000503-00-0407, C01,C08,C04,,,,,,
000503-00-0410, C01,C02,C08,C03,,,,,
000503-00-0417, C01,,,,,,,,
000503-00-0421, C01,C04,C05,C08,,,,,
000503-00-0425, C01,C04,C02,C06,C08,,,,
000503-00-0453, C01,C04,C08,,,,,,
000503-00-0454, C01,C02,,,,,,,
000503-00-0457, C01,,,,,,,,
000503-00-0458, C01,C02,C03,C04,C08,C05,,,
000503-00-0478, C01,C02,C03,,,,,,
000503-00-0479, C01,C06,,,,,,,
000503-00-0582, C01,C04,,,,,,,
000503-00-0613, C01,C09,C02,C03,C04,C05,C06,,
000503-00-0627, C01,,,,,,,,
000503-00-0632, C01,C02,C07,C04,,,,,
000503-00-0634, C01,C02,C04,C08,,,,,
000503-00-0635, C01,C06,C07,C08,,,,,
000503-00-0647, C01,C02,C05,,,,,,
000503-00-0689, C01,C02,C04,C07,C08,,,,
000503-00-0704, C01,C04,C02,C08,,,,,
000503-00-0729, C01,C09,C02,C04,C08,,,,
000503-00-0745, C01,C06,,,,,,,
000503-00-0746, C01,C06,C08,,,,,,
000503-00-0749, C01,,,,,,,,
000503-00-0789, C01,C02,C04,C06,C03,,,,
000503-00-0792, C01,C02,,,,,,,
000503-00-0852, C01,,,,,,,,
000503-00-0853, C01,,,,,,,,
000503-00-0881, C01,,,,,,,,
000503-00-0897, C01,C09,C04,,,,,,
000503-00-0936, C01,C02,C03,,,,,,
000503-00-0942, C01,C03,C02,C07,,,,,
000503-00-0947, C01,C04,,,,,,,
000503-00-0954, C01,C03,C04,C02,C05,C08,C06,,
000503-00-1039, C01,C04,,,,,,,
000503-00-1049, C01,C09,C02,,,,,,
000503-00-1050, C01,C04,C08,C09,,,,,
000503-00-1061, C01,C04,C05,C08,C09,C03,,,
000503-00-1081, C01,C09,C08,C05,C03,C04,C07,C02,
000503-00-1128, C01,C04,C02,C08,C05,,,,
000503-00-1133, C01,C04,,,,,,,
000503-00-1138, C01,C04,C09,C08,,,,,
000503-00-0154, C01,C02,,,,,,,
001001-00-0017, C01,C02,C04,,,,,,
001001-00-0020, C01,C05,,,,,,,
001001-00-0059, C01,C04,C05,,,,,,
001001-00-0064, C01,C08,C04,C05,,,,,
001001-00-0083, C01,C09,,,,,,,
001001-00-0101, C01,C02,,,,,,,
001001-00-0137, C01,C03,C02,,,,,,
001001-00-0163, C01,C04,C05,C09,,,,,
001001-00-0185, C01,,,,,,,,
001001-00-0192, C01,C07,C02,,,,,,
001001-00-0207, C01,C02,,,,,,,
001001-00-0241, C01,,,,,,,,
001001-00-0244, C01,,,,,,,,
001001-00-0254, C01,C05,C03,C04,,,,,
001001-00-0274, C01,C02,C03,,,,,,
001001-00-0286, C01,C09,C08,C07,C06,C05,C04,C03,C02
001001-00-0288, C01,,,,,,,,
001001-00-0293, C01,C07,C03,C08,C09,C02,C05,C06,
001001-00-0297, C01,C02,C04,C05,C08,,,,
001001-00-0309, C01,C03,C08,C05,,,,,
001001-00-0313, C01,C03,,,,,,,
001001-00-0332, C01,C08,C02,C05,C04,,,,
001001-00-0345, C01,,,,,,,,
001001-00-0349, C01,C02,C08,C04,C05,,,,
001001-00-0361, C01,C02,C04,C08,C06,,,,
001001-00-0376, C01,C04,C05,C03,C08,C06,C07,,
001001-00-0379, C01,C02,C05,C04,C08,,,,
001001-00-0383, C01,C04,C05,,,,,,
001001-00-0387, C01,C08,,,,,,,
001001-00-0393, C01,,,,,,,,
001001-00-0402, C01,C02,C08,C04,C05,,,,
001001-00-0409, C01,C02,,,,,,,
001001-00-0417, C01,C09,C02,C04,C07,C03,,,
001001-00-0450, C01,C02,,,,,,,
001001-00-0469, C01,C02,C04,,,,,,
001001-00-0474, C01,C02,C04,,,,,,
001001-00-0477, C01,C09,C07,,,,,,
001001-00-0496, C01,C02,C04,C07,,,,,
001001-00-0502, C01,C08,C02,C06,,,,,
001001-00-0503, C01,C02,C03,C06,C07,,,,
001001-00-0512, C01,C03,,,,,,,
001001-00-0533, C01,C04,C09,C05,,,,,
001001-00-0541, C01,C04,,,,,,,
001001-00-0550, C01,C05,C02,C04,,,,,
001001-00-0565, C01,C02,C04,C05,C08,,,,
001001-00-0570, C01,C02,C04,C05,C08,,,,
001001-00-0571, C01,C06,C02,C05,C08,C04,,,
001001-00-0574, C01,C02,C03,,,,,,
001001-00-0578, C01,C04,,,,,,,
001001-00-0589, C01,C09,,,,,,,
001001-00-0623, C01,,,,,,,,
001001-00-0638, C01,C08,C02,C04,C05,C03,C09,C06,C07
001001-00-0652, C01,,,,,,,,
001001-00-0655, C01,C02,C03,C04,C05,C08,C09,,
001001-00-0695, C01,,,,,,,,
001001-00-0701, C01,C09,C03,C02,,,,,
001001-00-0706, C01,C02,C04,C08,C05,,,,
001001-00-0710, C01,C08,C09,,,,,,
001001-00-0721, C01,,,,,,,,
001001-00-0766, C01,C02,C08,,,,,,
001001-00-0798, C01,C04,C02,,,,,,
001001-00-0799, C01,C04,C02,C03,C08,C05,,,
001001-00-0832, C01,C08,C09,,,,,,
001001-00-0849, C01,C02,,,,,,,
001001-00-0874, C01,,,,,,,,
001001-00-0891, C01,C05,C09,,,,,,
001001-00-0954, C01,C03,,,,,,,
001001-00-1001, C01,C03,C04,C05,C08,C09,C02,C07,C06
001001-00-1070, C01,C05,C08,,,,,,
001001-00-1074, C01,C08,C02,C04,C03,C07,C05,C06,
001001-00-1096, C01,C08,,,,,,,
001001-00-0246, C01,WI01,,,,,,,
001001-00-0265, C01,C06,C09,C05,C02,,,,
001001-00-0269, C01,,,,,,,,
001003-00-0042, C01,C08,C09,C05,C04,C07,,,
001003-00-0051, C01,,,,,,,,
001003-00-0055, C01,C03,C06,C09,,,,,
001003-00-0080, C01,C03,C05,,,,,,
001003-00-0099, C01,C03,,,,,,,
001003-00-0132, C01,C02,,,,,,,
001003-00-0144, C01,C02,,,,,,,
001003-00-0153, C01,C02,C03,C04,C05,,,,
001003-00-0156, C01,C03,C06,C07,,,,,
001003-00-0161, C01,C02,C03,C04,C05,C06,C07,C08,C09
001003-00-0181, C01,,,,,,,,
001003-00-0254, C01,C04,C02,C03,C05,C08,C07,C06,C09
001003-00-0265, C01,C08,C02,C04,,,,,
001003-00-0342, C01,C02,C08,C04,C05,C06,C03,C09,C07
001003-00-0365, C01,C03,C02,C08,C05,C07,C06,,
001003-00-0368, C01,C04,C02,C05,C09,C08,C07,C06,C03
001003-00-0371, C01,,,,,,,,
001003-00-0393, C01,C05,C02,C08,C09,,,,
001003-00-0398, C01,C08,C02,C04,C09,,,,
001003-00-0402, C01,C09,C04,C07,C05,C06,C08,C02,C03
001003-00-0411, C01,C02,C04,C08,,,,,
001003-00-0431, C01,C02,C03,C04,C05,C06,C07,C08,C09
001003-00-0432, C01,C02,C05,C06,C03,,,,
001003-00-0448, C01,C02,,,,,,,
001003-00-0461, C01,C04,C08,C03,,,,,
001003-00-0468, C01,,,,,,,,
001003-00-0530, C01,C05,C04,C06,C07,C08,C09,,
001003-00-0564, C01,C04,C05,C08,,,,,
001003-00-0569, C01,C02,C05,C04,C07,C03,C09,C08,C06
001003-00-0637, C01,C06,,,,,,,
001003-00-0639, C01,C05,,,,,,,
001003-00-0644, C01,,,,,,,,
001003-00-0647, C01,C02,C03,C04,C06,C07,,,
001003-00-0677, C01,,,,,,,,
000801-00-0037, C01,C09,C02,,,,,,
000801-00-0175, C01,C02,C05,C04,,,,,
000801-00-0258, C01,C08,C05,C03,C04,,,,
000801-00-0280, C01,C05,C07,C02,C08,C06,C09,,
000801-00-0294, C01,C07,C05,C08,C04,,,,
000801-00-0321, C01,C05,C09,,,,,,
000801-00-0340, C01,,,,,,,,
000801-00-0431, C01,C09,C04,C07,C08,,,,
000201-00-0014, C01,C02,C04,C03,C08,,,,
000201-00-0022, C01,C08,C03,C04,C02,,,,
000201-00-0029, C01,C04,,,,,,,
000201-00-0032, C01,C04,,,,,,,
000201-00-0050, C01,C03,C02,,,,,,
000201-00-0164, C01,,,,,,,,
000201-00-0238, C01,C02,C04,C03,,,,,
000201-00-0289, C01,C03,C08,,,,,,
000201-00-0313, C01,C02,C06,,,,,,
000201-00-0377, C01,C04,C03,,,,,,
000201-00-0388, C01,,,,,,,,
000201-00-0412, C01,C03,C02,C04,,,,,
000201-00-0436, C01,C05,C06,,,,,,
000201-00-0439, C01,,,,,,,,
000201-00-0442, C01,C02,C03,C06,,,,,
000201-00-0472, C01,C02,C03,,,,,,
000201-00-0475, C01,C02,C03,C05,,,,,
000201-00-0502, C01,C08,C02,C03,C04,C07,C06,,
000201-00-0526, C01,C03,C09,C07,,,,,
000201-00-0565, C01,C02,,,,,,,
000201-00-0617, C01,C02,C03,C04,C05,C06,,,
000201-00-0632, C01,C05,C06,C07,C08,C09,C02,C03,C04
000201-00-0773, C01,C08,C09,C03,C04,C05,,,
000201-00-0791, C01,C03,C05,,,,,,
000201-00-0794, C01,C03,C05,,,,,,
000201-00-0797, C01,C02,C03,C04,C05,C06,C07,,
001103-00-0003, C01,,,,,,,,
001103-00-0026, C01,,,,,,,,
001103-00-0028, C01,C09,C02,,,,,,
001103-00-0029, C01,C03,C05,C09,C02,,,,
001103-00-0031, C01,C08,C03,C04,C05,C06,,,
001103-00-0032, C01,C09,C06,,,,,,
001103-00-0037, C01,C02,C09,,,,,,
001103-00-0041, C01,C02,C06,C09,,,,,
001103-00-0046, C01,C03,,,,,,,
001103-00-0060, C01,C09,C02,C08,C05,C04,C03,C06,C07
001103-00-0062, C01,,,,,,,,
001103-00-0070, C01,C02,C03,C04,C05,,,,
001103-00-0082, C01,,,,,,,,
001103-00-0091, C01,C04,,,,,,,
001103-00-0100, C01,C02,C03,,,,,,
001103-00-0106, C01,C02,C04,,,,,,
001103-00-0113, C01,C03,C04,,,,,,
001103-00-0123, C01,C04,C06,,,,,,
001103-00-0124, C01,C02,,,,,,,
001103-00-0131, C01,,,,,,,,
001103-00-0160, C01,C02,C04,C03,,,,,
001103-00-0174, C01,C08,,,,,,,
001103-00-0181, C01,C04,C05,C02,C08,,,,
001103-00-0184, C01,C04,C05,C02,C09,C08,C06,C07,
001103-00-0192, C01,C06,C04,C02,,,,,
001103-00-0198, C01,C02,C04,,,,,,
001103-00-0211, C01,C08,C09,,,,,,
001103-00-0213, C01,,,,,,,,
001103-00-0218, C01,,,,,,,,
001103-00-0227, C01,C02,C07,C04,,,,,
001103-00-0236, C01,C02,C04,C05,,,,,
001103-00-0245, C01,C02,,,,,,,
