ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice,10th choice,11th choice
000403-00-0088, C10,C07,,,,,,,,,
000403-00-0092, C05,C09,C11,,,,,,,,
000403-00-0095, C06,,,,,,,,,,
000403-00-0096, C05,C10,,,,,,,,,
000403-00-0098, C03,C04,C05,C06,C07,C08,C09,C10,C11,C01,C02
000403-00-0100, C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C01
000403-00-0103, C06,,,,,,,,,,
000403-00-0104, C07,C06,,,,,,,,,
000403-00-0107, C06,,,,,,,,,,
000403-00-0111, C10,C03,C02,C05,C11,C06,C07,C09,C04,C08,C01
000403-00-0112, C06,,,,,,,,,,
000403-00-0114, C09,C05,C04,,,,,,,,
000403-00-0116, C06,,,,,,,,,,
000403-00-0119, C11,C05,C02,,,,,,,,
000403-00-0121, C07,,,,,,,,,,
000403-00-0123, C09,C10,C05,,,,,,,,
000403-00-0124, C09,C04,C10,,,,,,,,
000403-00-0126, C06,C09,C03,C05,C04,C10,,,,,
000403-00-0129, C06,C07,C09,C10,,,,,,,
000403-00-0131, C06,,,,,,,,,,
000403-00-0134, C03,C09,C10,C01,C04,C05,,,,,
000403-00-0136, C07,C09,,,,,,,,,
000403-00-0138, C01,,,,,,,,,,
000403-00-0141, C07,C01,C04,C06,C08,,,,,,
000403-00-0142, C10,C07,C01,,,,,,,,
000403-00-0145, C05,C01,C10,C06,C09,C07,,,,,
000403-00-0146, C01,C09,C10,C11,,,,,,,
000403-00-0149, C05,C06,C09,C10,,,,,,,
000403-00-0150, C03,C06,C07,C08,C09,C10,C11,C01,C02,C04,C05
000403-00-0152, C03,C10,,,,,,,,,
000403-00-0154, C06,,,,,,,,,,
000403-00-0157, C09,,,,,,,,,,
000403-00-0159, C07,C06,,,,,,,,,
000403-00-0160, C10,C01,C11,C03,C09,C07,C08,,,,
000403-00-0163, C08,C09,C07,,,,,,,,
000403-00-0164, C10,C09,C07,,,,,,,,
000403-00-0167, C10,C09,C05,,,,,,,,
000403-00-0169, C10,C01,C07,,,,,,,,
000403-00-0171, C06,C07,,,,,,,,,
000403-00-0173, C08,C10,C05,C06,,,,,,,
000403-00-0175, C10,,,,,,,,,,
000403-00-0176, C10,C08,C05,C07,C03,,,,,,
000403-00-0179, C09,C03,C04,C02,C05,C01,C11,C08,,,
000403-00-0180, C06,,,,,,,,,,
000403-00-0182, C01,C10,C09,,,,,,,,
000403-00-0187, C07,,,,,,,,,,
000403-00-0189, C10,,,,,,,,,,
000403-00-0190, C07,C06,,,,,,,,,
000403-00-0193, C07,C08,,,,,,,,,
000403-00-0194, C07,C08,,,,,,,,,
000403-00-0196, C03,,,,,,,,,,
000403-00-0199, C11,C10,C09,C06,C03,C07,C08,C01,C02,C05,C04
000403-00-0200, C08,,,,,,,,,,
000403-00-0203, C05,C10,,,,,,,,,
000403-00-0204, C07,C10,C04,,,,,,,,
000403-00-0206, C01,C02,,,,,,,,,
000403-00-0208, C07,C09,C10,,,,,,,,
000403-00-0211, C05,C03,C10,C09,C01,C07,,,,,
000403-00-0214, C09,C10,C05,C08,C07,C03,C01,,,,
000403-00-0217, C09,,,,,,,,,,
000403-00-0218, C06,C10,C07,C09,,,,,,,
000403-00-0221, C06,,,,,,,,,,
000403-00-0222, C11,C04,C01,C02,C05,C08,C06,C07,C03,C10,C09
000403-00-0225, C07,C08,,,,,,,,,
000403-00-0227, C11,C10,C05,C09,,,,,,,
000403-00-0229, C09,C10,C03,C05,C01,,,,,,
000403-00-0230, C01,C02,C06,,,,,,,,
000403-00-0233, C01,,,,,,,,,,
000403-00-0234, C08,C03,C01,,,,,,,,
000403-00-0237, C10,C08,C09,,,,,,,,
000403-00-0238, C06,C09,C10,C07,C02,C03,C04,C01,C11,C05,C08
000403-00-0240, C04,C01,C07,,,,,,,,
000403-00-0243, C07,,,,,,,,,,
000403-00-0244, C09,C07,C06,C03,C10,,,,,,
000403-00-0248, C07,C11,C01,C02,C10,C09,C03,C04,C05,C06,C08
000403-00-0250, C11,C08,C05,,,,,,,,
000403-00-0251, C10,,,,,,,,,,
000403-00-0254, C04,C06,C07,C08,C09,C10,,,,,
000403-00-0255, C10,,,,,,,,,,
000403-00-0258, C10,C09,,,,,,,,,
000403-00-0260, C01,C03,C02,,,,,,,,
000403-00-0262, C06,C04,C07,C09,C10,C01,,,,,
000403-00-0263, C06,C04,C07,C09,C10,C01,,,,,
000403-00-0265, C10,,,,,,,,,,
000403-00-0268, C01,C07,C08,,,,,,,,
000403-00-0269, C07,,,,,,,,,,
000403-00-0272, C08,C07,C04,C03,C02,C11,,,,,
000403-00-0273, C07,C01,C09,,,,,,,,
000403-00-0275, C04,C05,C08,C01,C11,C02,C09,C10,C03,C06,C07
000403-00-0278, C02,C05,C10,C09,C03,C06,C08,,,,
000403-00-0280, C01,C02,C08,,,,,,,,
000403-00-0282, C05,,,,,,,,,,
000403-00-0284, C07,C04,C08,,,,,,,,
000403-00-0286, C01,C04,C07,C11,C09,C08,,,,,
000403-00-0287, C07,,,,,,,,,,
000403-00-0289, C07,C02,C01,C09,C03,C08,C10,,,,
000403-00-0292, C09,C10,,,,,,,,,
000403-00-0294, C06,C09,C10,,,,,,,,
000403-00-0296, C03,C01,C07,,,,,,,,
000403-00-0298, C01,C07,C08,,,,,,,,
000403-00-0301, C09,C10,C01,C02,C03,C05,C08,,,,
000403-00-0302, C03,C01,C06,C09,C02,,,,,,
000403-00-0305, C04,,,,,,,,,,
000403-00-0308, C04,C09,C10,C05,C02,C01,C03,C06,C08,C07,C11
000403-00-0310, C07,C10,C11,C03,C06,C09,C08,C05,C04,C02,C01
000403-00-0311, C07,,,,,,,,,,
000403-00-0001,,,,,,,,,,,
000403-00-0002,,,,,,,,,,,
000403-00-0003,,,,,,,,,,,
000403-00-0004,,,,,,,,,,,
000403-00-0005,,,,,,,,,,,
000403-00-0006,,,,,,,,,,,
000403-00-0007,,,,,,,,,,,
000403-00-0008,,,,,,,,,,,
000403-00-0014, C09,C01,WI02,,,,,,,,
000403-00-0015, C03=C06=C07=C09=C10,,,,,,,,,,
000403-00-0016,,,,,,,,,,,
000403-00-0017,,,,,,,,,,,
000403-00-0018,,,,,,,,,,,
000403-00-0019,,,,,,,,,,,
000401-00-0001, C04,C08,C10,C02,C03,C05,C06,C11,,,
000401-00-0004, C10,,,,,,,,,,
000401-00-0005, C10,C02,C04,C05,,,,,,,
000401-00-0008, C05,C04,C03,C07,C02,,,,,,
000401-00-0010, C07,,,,,,,,,,
000401-00-0012, C07,,,,,,,,,,
000401-00-0014, C07,C01,C04,C03,C09,C10,C11,C08,,,
000401-00-0015, C02,C05,C10,C03,C06,C09,,,,,
000401-00-0018, C09,C03,C05,C10,C06,,,,,,
000401-00-0020, C10,C02,C05,C06,C01,,,,,,
000401-00-0021, C05,,,,,,,,,,
000401-00-0022, C08,C09,C01,C10,,,,,,,
000401-00-0024, C10,C07,C04,C09,,,,,,,
000401-00-0026, C01,C07,C04,,,,,,,,
000401-00-0030, C10,C09,C03,C02,C06,C07,,,,,
000401-00-0031, C05,C07,C10,C09,,,,,,,
000401-00-0033, C01,C04,C08,C02,C07,C09,C11,,,,
000401-00-0036, C01,C04,C08,C02,C07,C09,C11,,,,
000401-00-0038, C10,C07,C04,C01,C03,,,,,,
000401-00-0040, C04,C08,,,,,,,,,
000401-00-0043, C04,C03,C01,,,,,,,,
000401-00-0044, C08,C01,C09,C03,C07,,,,,,
000401-00-0046, C07,C10,C09,C03,C06,,,,,,
000401-00-0049, C04,C06,C10,,,,,,,,
000401-00-0050, C10,C08,C01,C03,C04,C02,,,,,
000401-00-0053, C04,C02,C01,C05,,,,,,,
000401-00-0054, C04,C01,C07,C09,,,,,,,
000401-00-0056, C07,C05,C04,,,,,,,,
000401-00-0058, C10,C09,C02,C03,C04,C05,C06,C07,C11,C08,
000401-00-0061, C04,,,,,,,,,,
000401-00-0063, C06,C09,C07,C10,C03,,,,,,
000401-00-0065, C02,C10,C07,C01,C05,C09,,,,,
000401-00-0067, C05,C10,C02,C01,C11,C04,,,,,
000401-00-0069, C07,,,,,,,,,,
000401-00-0070, C11,C07,C01,C02,C06,C10,,,,,
000401-00-0073, C10,C02,C07,C09,C05,C01,,,,,
000401-00-0075, C01,,,,,,,,,,
000401-00-0077, C10,,,,,,,,,,
000401-00-0078, C01,C08,C07,C05,C04,C11,,,,,
000401-00-0080, C01,C04,C10,,,,,,,,
000401-00-0082, C10,C03,,,,,,,,,
000401-00-0086, C04,,,,,,,,,,
000401-00-0088, C03,C04,C10,C09,C08,C11,C07,,,,
000401-00-0089, C07,,,,,,,,,,
000401-00-0091, C01,C03,C04,C07,C08,C09,C10,,,,
000401-00-0092, C05,C10,C04,C02,C01,C11,,,,,
000401-00-0096, C04,C09,C10,C03,C07,C11,C08,,,,
000401-00-0098, C07,C08,C03,C06,,,,,,,
000401-00-0099, C08,,,,,,,,,,
000401-00-0101, C07,C09,C06,,,,,,,,
000401-00-0104, C09,C10,C04,,,,,,,,
000401-00-0106, C09,C01,C04,C10,,,,,,,
000401-00-0109, C05,C10,C02,C01,C11,C04,C06,C09,C03,,
000401-00-0111, C04,C10,,,,,,,,,
000401-00-0112, C06,C04,C08,C10,C03,,,,,,
000401-00-0114, C04,,,,,,,,,,
000401-00-0116, C04,,,,,,,,,,
000401-00-0119, C01,C04,C09,C10,,,,,,,
000401-00-0120, C04,,,,,,,,,,
000401-00-0123, C04,C05,C02,C01,C11,C08,,,,,
000401-00-0124, C05,C04,C03,C09,,,,,,,
000401-00-0126, C07,C04,C05,,,,,,,,
000401-00-0128, C04,C08,C11,C01,C02,C05,,,,,
000401-00-0131, C01,C07,C03,C08,C06,,,,,,
000401-00-0133, C08,C04,C09,C10,C03,C06,C07,C01,C02,C05,C11
000401-00-0135, C07,C06,C03,C01,C08,,,,,,
000401-00-0137, C09,C04,C01,C10,C02,C07,,,,,
000401-00-0138, C10,C09,C01,C03,C07,C06,,,,,
000401-00-0141, C06,C09,C10,C03,,,,,,,
000401-00-0143, C04,C02,C03,C09,C11,C07,C05,C01,,,
000401-00-0144, C08,C03,C04,,,,,,,,
000401-00-0147, C08,C04,C10,,,,,,,,
000401-00-0149, C09,C01,C07,,,,,,,,
000401-00-0151, C04,,,,,,,,,,
000401-00-0153, C01,C08,C06,,,,,,,,
000401-00-0155, C04,C07,C10,,,,,,,,
000401-00-0156, C07,C10,C09,,,,,,,,
000401-00-0159, C10,,,,,,,,,,
000401-00-0161, C07,C01,C06,,,,,,,,
000401-00-0163, C06,C01,,,,,,,,,
000401-00-0165, C01,C02,C10,C05,C09,,,,,,
000401-00-0167, C06,C04,C07,C09,C03,C11,C02,C10,C01,C08,C05
000401-00-0170, C03,C07,C10,C01,,,,,,,
000401-00-0172, C04,C05,C07,,,,,,,,
000401-00-0173, C08,C07,C01,,,,,,,,
000401-00-0175, C07,C03,C06,C09,C10,C11,C08,C05,C01,C02,C04
000401-00-0178, C04,C01,C08,C03,C09,C05,C06,,,,
000401-00-0179, C09,C01,,,,,,,,,
000401-00-0181, C10,C02,C04,C05,,,,,,,
000401-00-0182, C04,C01,C08,C03,C09,C05,C02,,,,
000401-00-0184, C03,C06,C01,,,,,,,,
000401-00-0187, C06,C07,C05,C04,C10,C09,C08,,,,
000401-00-0190, C05,C04,C02,C11,C08,,,,,,
000401-00-0191, C10,C03,C01,C05,C08,C11,,,,,
000401-00-0193, C07,C10,C09,C03,C04,C02,C05,C06,C11,C01,C08
000401-00-0195, C01,C03,C07,C10,,,,,,,
000401-00-0197, C07,C08,C03,C10,C01,C11,C04,C09,C06,C05,C02
000401-00-0198, C07,,,,,,,,,,
000401-00-0200, C07,C08,,,,,,,,,
000401-00-0202, C09,C07,,,,,,,,,
000401-00-0205, C01,C09,C03,C04,C06,C11,,,,,
000401-00-0208, C09,C04,C10,,,,,,,,
000401-00-0211, C01,C10,C04,C08,,,,,,,
000401-00-0213, C10,C01,,,,,,,,,
000401-00-0214, C05,C04,,,,,,,,,
000401-00-0217, C10,C04,C09,C03,C06,C07,,,,,
000401-00-0219, C10,C07,C03,C06,C05,C11,C09,C02,C01,C04,C08
000401-00-0220, C08,C07,C09,C10,C03,C06,C05,C04,C11,,
000401-00-0222, C01,C09,C03,C04,C05,C11,C10,C08,C07,C06,C02
000401-00-0223, C01,,,,,,,,,,
000401-00-0225, C08,,,,,,,,,,
000401-00-0227, C07,C10,C08,,,,,,,,
000401-00-0230, C07,C04,,,,,,,,,
000401-00-0232, C07,C11,C09,,,,,,,,
000401-00-0234, C07,,,,,,,,,,
000401-00-0235, C10,C05,C02,C07,C09,C06,,,,,
000401-00-0238, C09,C01,,,,,,,,,
000401-00-0240, C08,C07,C09,C11,C10,,,,,,
000401-00-0242, C09,C06,C11,,,,,,,,
000401-00-0246, C06,C07,C09,C03,C10,C11,C01,C02,C04,C05,C08
000401-00-0247, C01,C05,C08,,,,,,,,
000401-00-0250, C09,C08,C01,,,,,,,,
000401-00-0252, C07,C01,C10,C02,C03,C09,C04,,,,
000401-00-0253, C07,C04,C10,C03,C01,C11,C08,C05,C02,C06,C09
000401-00-0256, C04,C07,C06,,,,,,,,
000401-00-0257, C04,,,,,,,,,,
000401-00-0259, C03,C06,C07,C09,C10,,,,,,
000401-00-0262, C07,C08,,,,,,,,,
000401-00-0263, C08,,,,,,,,,,
000401-00-0265, C04,C10,,,,,,,,,
000401-00-0266, C07,,,,,,,,,,
000401-00-0270, C09,,,,,,,,,,
000401-00-0272, C04,C10,C07,,,,,,,,
000401-00-0273, C08,C04,,,,,,,,,
000401-00-0274, C07,C09,C03,C01,C06,C10,C05,C08,C11,,
000401-00-0276, C07,C10,C09,C03,C06,,,,,,
000401-00-0278, C09,C03,C04,C02,C06,C05,C01,,,,
000401-00-0280, C02,C05,C10,C09,C03,C06,C04,C08,C11,C07,C01
000401-00-0282, C07,C10,C09,C03,C06,C08,C11,C01,C02,C04,C05
000401-00-0285, C03,C11,C09,C07,C06,C04,,,,,
000401-00-0287, C07,,,,,,,,,,
000401-00-0289, C07,C03,C10,,,,,,,,
000401-00-0290, C09,C01,,,,,,,,,
000401-00-0293, C07,C05,,,,,,,,,
000401-00-0294, C06,C04,C03,C10,C09,,,,,,
000401-00-0295, C09,C08,C06,C03,C10,,,,,,
000401-00-0298, C09,,,,,,,,,,
000401-00-0300, C04,C10,C05,C02,,,,,,,
000401-00-0303, C10,C05,C02,C07,,,,,,,
000401-00-0306, C10,,,,,,,,,,
000401-00-0307, C04,,,,,,,,,,
000401-00-0310, C05,C10,C01,C02,C04,C11,C03,C09,C06,C07,C08
000401-00-0311, C08,C03,C09,,,,,,,,
000401-00-0313, C04,,,,,,,,,,
000401-00-0315, C08,C05,C04,C10,C06,C01,C09,,,,
000401-00-0318, C03,,,,,,,,,,
000401-00-0319, C05,C08,C06,C07,C09,C11,C10,C02,C01,C03,C04
000401-00-0321, C10,C06,C09,,,,,,,,
000401-00-0324, C07,,,,,,,,,,
000401-00-0326, C07,C08,C04,C01,C05,C10,C09,C06,C03,C02,C11
000401-00-0328, C07,C05,C10,,,,,,,,
000401-00-0329, C07,,,,,,,,,,
000401-00-0332, C09,C03,C05,,,,,,,,
000401-00-0333, C05,C09,,,,,,,,,
000401-00-0335, C07,C09,C10,,,,,,,,
000401-00-0337, C09,C11,C07,,,,,,,,
000401-00-0340, C04,,,,,,,,,,
000401-00-0342, C07,,,,,,,,,,
000401-00-0343, C09,,,,,,,,,,
000401-00-0345, C07,C08,C06,,,,,,,,
000401-00-0348, C07,C08,C06,,,,,,,,
000401-00-0351, C07,,,,,,,,,,
000401-00-0352, C07,C10,C06,,,,,,,,
000401-00-0354, C05,C03,C02,C07,,,,,,,
000401-00-0356, C10,C09,C03,C07,,,,,,,
000401-00-0359, C07,,,,,,,,,,
000401-00-0360, C04,C10,,,,,,,,,
000401-00-0363, C08,C01,C07,C06,,,,,,,
000401-00-0364, C04,C07,C03,C11,C09,C01,C10,,,,
000401-00-0367, C07,C10,C08,C01,C03,C06,,,,,
000401-00-0370, C08,C10,C07,,,,,,,,
000401-00-0372, C05,C07,C08,C06,C10,,,,,,
000401-00-0374, C07,C01,C09,,,,,,,,
000401-00-0376, C07,C01,C11,C03,C05,C08,,,,,
000401-00-0378, C08,C04,C06,C03,C01,C10,C11,C02,C05,C09,C07
000401-00-0380, C07,C01,C10,,,,,,,,
000401-00-0381, C09,C10,C11,C01,C02,C03,C04,C05,C06,C07,C08
000401-00-0384, C07,C05,C06,C08,C09,C10,C11,C01,C02,C03,C04
000401-00-0387, C02,C11,C09,C07,C01,C03,,,,,
000401-00-0388, C08,C09,C05,C10,C06,,,,,,
000401-00-0391, C11,,,,,,,,,,
000401-00-0393, C01,C08,C09,C10,C06,C02,,,,,
000401-00-0394, C10,C09,C04,,,,,,,,
000401-00-0397, C04,C05,C02,C08,C11,C01,C10,,,,
000401-00-0399, C07,C10,C01,C06,,,,,,,
000401-00-0401, C06,C10,,,,,,,,,
000401-00-0403, C06,C07,C04,,,,,,,,
000401-00-0404, C07,,,,,,,,,,
000401-00-0406, C01,C07,C09,,,,,,,,
000401-00-0408, C10,C05,C01,C03,C06,C07,C08,,,,
000401-00-0410, C03,C05,C08,C01,C07,C06,,,,,
000401-00-0413, C07,C04,C10,,,,,,,,
000401-00-0414, C01,C08,C05,C10,C07,,,,,,
000401-00-0417, C04,C10,,,,,,,,,
000401-00-0418, C09,C01,C08,C03,,,,,,,
000401-00-0421, C02,C04,C10,C01,,,,,,,
000401-00-0423, C01,C08,C09,C07,C05,,,,,,
000401-00-0425, C01,C07,C03,C08,C06,C09,,,,,
000401-00-0427, C04,C09,C06,C03,C10,,,,,,
000401-00-0428, C01,,,,,,,,,,
000401-00-0430, C08,C03,C06,C09,C10,C01,C02,C05,C04,,
000401-00-0432, C09,C07,C03,,,,,,,,
000401-00-0434, C06,C10,C03,C07,C09,,,,,,
000401-00-0436, C07,C09,C10,,,,,,,,
000401-00-0439, C07,C08,,,,,,,,,
000401-00-0441, C05,C10,C02,C04,C03,C07,C11,C06,C09,C08,C01
000401-00-0443, C05,C10,C02,C04,C03,C07,C11,C06,C09,C08,C01
000401-00-0444, C01,C06,,,,,,,,,
000401-00-0447, C01,C05,C09,,,,,,,,
000401-00-0449, C09,C05,C07,C01,C08,C10,,,,,
000401-00-0452, C01,C04,C10,C09,C07,C05,,,,,
000401-00-0453, C09,C05,C07,C01,C08,C10,,,,,
000401-00-0456, C07,,,,,,,,,,
000401-00-0457, C10,,,,,,,,,,
000401-00-0460, C07,C08,C04,,,,,,,,
000401-00-0463, C07,C06,,,,,,,,,
000401-00-0465, C04,C01,C07,C06,,,,,,,
000401-00-0467, C10,C02,C04,C03,C09,C01,C06,,,,
000401-00-0469, C06,C07,C09,C10,C03,,,,,,
000401-00-0470, C10,C09,C07,C06,,,,,,,
000401-00-0472, C07,C06,C01,,,,,,,,
000401-00-0474, C07,C04,C05,C09,C11,C01,C02,,,,
000401-00-0477, C10,C02,C05,C04,C07,C11,C09,C01,C03,C06,
000401-00-0478, C09,C07,,,,,,,,,
000401-00-0481, C01,C04,C05,,,,,,,,
000401-00-0482, C09,,,,,,,,,,
000401-00-0484, C07,,,,,,,,,,
000401-00-0486, C07,C01,C10,C06,C04,C09,C08,C11,C05,C02,C03
000401-00-0488, C09,C11,C07,,,,,,,,
000401-00-0490, C09,,,,,,,,,,
000401-00-0493, C07,C01,C09,C06,,,,,,,
000401-00-0494, C07,C08,,,,,,,,,
000401-00-0497, C03,C02,C01,C11,C10,C09,C08,C07,C06,,
000401-00-0498, C09,C06,C03,C10,,,,,,,
000401-00-0500, C05,C09,,,,,,,,,
000401-00-0502, C01,,,,,,,,,,
000401-00-0504, C09,C10,C08,,,,,,,,
000401-00-0507, C05,C10,C11,C07,,,,,,,
000401-00-0508, C04,C07,C05,,,,,,,,
000401-00-0510, C06,,,,,,,,,,
000401-00-0513, C01,,,,,,,,,,
000401-00-0514, C01,C04,C09,C10,,,,,,,
000401-00-0517, C01,C02,C05,C07,,,,,,,
000401-00-0518, C01,C07,C05,C02,,,,,,,
000401-00-0521, C01,C06,C04,,,,,,,,
000401-00-0522, C04,C10,C05,,,,,,,,
000401-00-0524, C09,,,,,,,,,,
000401-00-0526, C01,C09,C07,,,,,,,,
000401-00-0529, C07,C09,C06,,,,,,,,
000401-00-0532, C05,C02,C03,C08,C10,C11,C09,C07,C06,C04,C01
000401-00-0534, C06,C05,C10,C07,C09,,,,,,
000401-00-0536, C01,C04,C08,C10,C07,C03,,,,,
000401-00-0539, C10,C02,C09,,,,,,,,
000401-00-0541, C07,C06,C09,C04,C10,,,,,,
000401-00-0543, C06,C01,,,,,,,,,
000401-00-0545, C07,,,,,,,,,,
000401-00-0548, C08,C10,,,,,,,,,
000401-00-0549, C10,C09,C03,,,,,,,,
000401-00-0551, C09,C03,C10,,,,,,,,
000401-00-0553, C07,C01,C06,C03,,,,,,,
000401-00-0554, C09,C11,C01,,,,,,,,
000401-00-0557, C03,C06,C07,C09,C10,,,,,,
000401-00-0559, C08,C10,C09,,,,,,,,
000401-00-0560, C07,C04,,,,,,,,,
000401-00-0563, C01,C08,C10,C09,C07,C03,C06,,,,
000401-00-0564, C06,C03,C01,C10,,,,,,,
000401-00-0566, C06,C03,,,,,,,,,
000401-00-0568, C05,C08,C01,C02,C11,C04,C03,C09,C10,C06,C07
000401-00-0570, C07,C06,,,,,,,,,
000401-00-0572, C09,C07,C10,C06,C03,C05,C02,C11,C01,C08,
000401-00-0575, C08,C07,C03,C10,C11,C01,C04,C05,C06,C09,C02
000401-00-0577, C07,C04,,,,,,,,,
000401-00-0578, C02,C07,C08,C04,C09,C01,C10,C11,,,
