ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice
000101-00-1144, C02,C03,C04,,,,,
000101-00-1202, C02,C03,C06,C05,C01,,,
000101-00-1209, C02,,,,,,,
000101-00-1214, C02,C03,,,,,,
000101-00-1220, C02,C03,C06,C05,C01,,,
000101-00-1225, C02,,,,,,,
000101-00-1298, C02,C08,,,,,,
000101-00-1309, C02,C03,C06,C04,C08,C07,,
000101-00-1330, C02,C03,,,,,,
000101-00-1339, C02,C03,,,,,,
000101-00-1456, C02,C03,C04,C07,C06,C01,C08,
000101-00-1460, C02,C05,C06,C01,C07,,,
000101-00-1463, C02,,,,,,,
000101-00-1466, C02,C05,,,,,,
000101-00-1507, C02,C08,,,,,,
000101-00-1562, C02,C03,C08,C07,C04,C01,C06,C05
000101-00-1623, C02,C03,,,,,,
000101-00-1626, C02,C03,C08,C04,C01,C07,C06,C05
000101-00-1629, C02,,,,,,,
000101-00-1641, C02,C03,C04,C05,C06,C01,C08,
000101-00-1653, C02,C03,,,,,,
000101-00-0006, C02,C03,WI01,,,,,
000702-00-0001, C02,C03,C06,C01,C05,C04,C07,
000702-00-0028, C02,C03,C04,C07=C08,,,,
000702-00-0059, C04=C08,C02,C07,C03,,,,
000702-00-0145, C02,C03,C04,,,,,
000702-00-0230, C02,C03,C04,C07,C08,,,
000702-00-0238, C02,C05,C01,,,,,
000702-00-0247, C02,C04,C03,C06,C05,,,
000702-00-0268, C02,C03,C04,C07,C08,C05,C01,C06
000702-00-0286, C02,C08,,,,,,
000702-00-0358, C02,,,,,,,
000702-00-0402, C02,C03,C04,C07,C01,C06,C05,C08
000702-00-0439, C02,C03,C07,,,,,
000702-00-0482, C02,,,,,,,
000702-00-0719, C02,C06,C03,C04,C05,C07,,
000702-00-0831, C02,C06,C01,,,,,
000902-00-0041, C02,C03,C04,C06,,,,
000902-00-0057, C02,C03,,,,,,
000902-00-0069, C02,C03,C08,C04,,,,
000902-00-0074, C02,C05,C08,C03,C01,C07,C04,C06
000902-00-0082, C02,C03,C08,C05,C06,,,
000902-00-0090, C02,C04,,,,,,
000902-00-0126, C02,C01,C05,,,,,
000902-00-0144, C02,,,,,,,
000902-00-0145, C02,C03,C04,C08,,,,
000902-00-0166, C02,C03,C04,C05,C07=C08,C06,,
000902-00-0184, C02,C03,C07,C04,C08,C06,,
000902-00-0189, C02,C03,C04,C05,C07,C06,C01,
000902-00-0216, C02,C03,C04,C07,,,,
000902-00-0232, C02,C05,,,,,,
000902-00-0293, C02,C03,C08,C04,,,,
000902-00-0296, C02,C03,C07,C06,C04,C08,C05,C01
000902-00-0314, C02,C03,,,,,,
000902-00-0342, C02,C03,,,,,,
000902-00-0347, C02,C03,C04,,,,,
000902-00-0398, C02,C03,C06,C07,C01,,,
000902-00-0419, C02,C03,C04,,,,,
000902-00-0427, C02,C03,,,,,,
000902-00-0430, C02,C03,,,,,,
000902-00-0457, C02,C06,C01,C03,C05,,,
000902-00-0460, C02,C03,,,,,,
000902-00-0464, C02,C08,C03,,,,,
000902-00-0484, C02,,,,,,,
000902-00-0499, C02,,,,,,,
000902-00-0504, C02,,,,,,,
000902-00-0521, C02,C08,,,,,,
000902-00-0532, C02,C06,,,,,,
000902-00-0533, C02,C04,,,,,,
000902-00-0534, C02,C03,C08,,,,,
000902-00-0535, C02,C08,C03,,,,,
000902-00-0536, C02,C04,C08,,,,,
000902-00-0544, C02,C03,C04,C07,C08,,,
000902-00-0575, C02,C03,C08,,,,,
000902-00-0580, C02,C03,C08,,,,,
000902-00-0582, C02,C04,C07,C08,C03,,,
000902-00-0596, C02,C03,C08,,,,,
000902-00-0611, C02,C06,,,,,,
000902-00-0614, C02,C03,C04,C05,C06,C07,C08,C01
000902-00-0617, C02,C03,C08,,,,,
000902-00-0646, C02,C03,C04,,,,,
000902-00-0661, C02,C05,C08,,,,,
000902-00-0682, C02,C03,C06,,,,,
000902-00-0695, C02,C03,C04,C07,C08,C01,C05,C06
000902-00-0707, C02,C05,C03,C08,C04,C07,,
000902-00-0729, C02,C03,,,,,,
000902-00-0752, C02,C05,C08,,,,,
000902-00-0756, C02,C03,C07,C04,,,,
000902-00-0759, C02,C03,C07,C08,C04,,,
000902-00-0764, C02,C03,,,,,,
000902-00-0784, C02,,,,,,,
000902-00-0797, C02,C03,,,,,,
000902-00-0820, C02,,,,,,,
000902-00-0870, C02,C03,,,,,,
000902-00-0890, C02,C03,,,,,,
000902-00-0905, C02,C03,C06,,,,,
000902-00-0933, C02,C01,C03,C05,C06,,,
000902-00-0941, C02,,,,,,,
000902-00-0943, C02,,,,,,,
000902-00-0944, C02,,,,,,,
000902-00-0945, C02,C03,,,,,,
000902-00-0954, C02,C05,C08,,,,,
000902-00-0962, C02,C03,C04,,,,,
000902-00-0982, C02,C06,C05,C07,C03,,,
000902-00-0983, C02,C03,C04,C07,C08,,,
000902-00-0984, C02,C04,C08,C06,C05,C03,C07,
000902-00-0985, C02,C08,,,,,,
000902-00-0989, C02,C03,C04,C06,C07,C08,,
000902-00-0991, C02,C08,C07,C03,,,,
000902-00-0999, C02,C03,C05,C07,C01,,,
000902-00-1004, C02,C06,,,,,,
000902-00-1006, C02,C03,,,,,,
000902-00-1009, C02,C03,,,,,,
000902-00-1015, C02,C05,,,,,,
000902-00-1044, C02,C03,,,,,,
000902-00-1067, C02,,,,,,,
000902-00-1110, C02,C03,C04,C07,,,,
000902-00-1130, C02,C04,C03,C07,C06,C01,,
000902-00-1177, C02,C04,C03,,,,,
000902-00-1201, C02,C03,,,,,,
000902-00-1206, C02,C08,C03,C04,C06,,,
000902-00-1210, C02,C04,C03,C08,,,,
000902-00-1242, C02,C03,C04,,,,,
000902-00-1251, C02,C03,,,,,,
000902-00-1252, C02,C03,,,,,,
000902-00-1279, C02,C03,C04,,,,,
000902-00-1284, C02,C03,,,,,,
000902-00-1346, C02,,,,,,,
000902-00-1351, C02,C03,C06,C01,,,,
000902-00-1356, C02,C08,,,,,,
000902-00-1392, C02,C08,C06,,,,,
000902-00-1397, C02,C08,C03,C07,,,,
000902-00-1407, C02,C03,C08,C04,C06,,,
000902-00-1424, C02,C04,C03,C05,C08,,,
000902-00-1436, C02,,,,,,,
000902-00-1508, C02,,,,,,,
000902-00-1512, C02,C03,C04,,,,,
000902-00-1521, C02,,,,,,,
000902-00-1571, C02,C03,C05,C07,C08,,,
000902-00-1574, C02,C03,,,,,,
000902-00-1601, C02,,,,,,,
000902-00-1622, C02,C04,C03,C05,C08,,,
000902-00-1625, C02,C04,C03,C06,,,,
000902-00-1632, C02,C04,C03,C05,C08,,,
000902-00-1636, C02,C03,C04,C08,C07,,,
000902-00-1640, C02,C03,C04,C08,C07,,,
000902-00-1686, C02,C03,C06,C08,C04,,,
000902-00-1694, C02,,,,,,,
000902-00-1726, C02,C06,,,,,,
000902-00-1766, C02,C03,C06,,,,,
000902-00-1772, C02,C04,C01,C05,C08,,,
000902-00-1778, C02,C07,C08,C03,C05,,,
000902-00-1815, C02,C03,C04,,,,,
000902-00-1819, C02,C04,C07,,,,,
000902-00-1825, C02,C07,C04,,,,,
000902-00-1851, C02,C06,,,,,,
000902-00-1868, C02,,,,,,,
000902-00-1878, C02,C03,C08,C04,C07,,,
000902-00-1880, C02,C06,C08,,,,,
000902-00-1983, C02,C03,C06,C04,C01,C08,C05,C07
000902-00-1984, C02,C03,C04,C08,C07,,,
000902-00-1998, C02,C03,C05,,,,,
000902-00-2023, C02,C06,C08,,,,,
000902-00-2037, C02,C03,,,,,,
000902-00-2083, C02,C08,,,,,,
000902-00-2120, C02,,,,,,,
000902-00-2139, C02,C08,C05,C04,C03,C07,,
000902-00-2140, C02,C05,C03,,,,,
000902-00-2155, C02,C03,C06,,,,,
000902-00-2180, C02,,,,,,,
000902-00-2194, C02,,,,,,,
000902-00-2200, C02,,,,,,,
000902-00-2203, C02,C03,C06,C05,C04,C08,C01,
000902-00-2216, C02,C03,,,,,,
000902-00-2293, C02,C03,C04,C07,,,,
000902-00-2297, C02,C03,C04,C06,,,,
000902-00-2301, C02,C08,C07,C03,C04,,,
000902-00-2361, C02,C03,C04,C06,C05,,,
000902-00-2374, C02,C03,C05,C06,C08,,,
000902-00-2376, C02,C01,C03,C08,C07,C05,,
000902-00-2406, C02,,,,,,,
000902-00-2473, C02,C04,C03,C05,C06,C07,C08,C01
000902-00-2478, C02,,,,,,,
000902-00-2501, C02,C03,,,,,,
000902-00-2502, C02,,,,,,,
000902-00-2583, C02,C04,C07,,,,,
000902-00-2600, C02,,,,,,,
000902-00-2681, C02,,,,,,,
000902-00-2704, C02,C07,C04,C01,C06,C05,C08,C03
000902-00-2719, C02,C08,C05,,,,,
000902-00-2763, C02,C03,,,,,,
000902-00-2800, C02,,,,,,,
000902-00-2805, C02,C03,C04,,,,,
000902-00-2913, C02,,,,,,,
000902-00-2920, C02,,,,,,,
000902-00-0007, C02,,,,,,,
000902-00-0014, C02,C03,,,,,,
000902-00-0015, C02,,,,,,,
000902-00-0021, C02,C03,WI01,,,,,
000401-00-0107, C02,C04=C08,C03,C06,C07,C05,,
000401-00-0141, C02,C04,C06,C08,C07,C01,,
000401-00-0208, C02,C01,C04,C07,,,,
000401-00-0659, C02,C04,C03,C08,C07,,,
000401-00-0720, C02,C03,C08,C07,,,,
000401-00-0733, C02,,,,,,,
000401-00-0790, C02,C04,C03,C08,,,,
000401-00-0970, C02,,,,,,,
000401-00-0975, C02,C01,C05,C04,,,,
000401-00-0977, C02,C04,C08,C03,,,,
000401-00-0996, C02,C08,,,,,,
000401-00-1015, C02,C03,C05,,,,,
000401-00-1019, C02,C03,,,,,,
000401-00-1163, C02,,,,,,,
000401-00-1220, C02,C04,,,,,,
000401-00-1305, C02,C03,,,,,,
000401-00-1348, C02,C03,C04,C06,C01,,,
000401-00-1357, C02,C03,C08,C04,C05,,,
000401-00-1429, C02,C07,C03,C04,,,,
000401-00-1440, C02,C03,C04,,,,,
000401-00-1452, C02,,,,,,,
000401-00-1491, C02,C03,C04,,,,,
000401-00-1542, C02,C03,C07,C04,,,,
000401-00-1758, C02,,,,,,,
000401-00-1800, C02,C06,C04,,,,,
000401-00-1838, C02,C03,C08,C07,C06,C05,,
000401-00-1845, C02,,,,,,,
000401-00-1928, C02,C03,C07,C04,C01,C05,,
000401-00-2036, C02,C03,C06,C01,C07,C04,C08,C05
000401-00-2088, C02,,,,,,,
000401-00-2097, C02,C05,C07,,,,,
001103-00-0002, C02,C08,,,,,,
001103-00-0009, C02,,,,,,,
001103-00-0020, C02,,,,,,,
001103-00-0021, C02,C06,C07,C03,C01,C08,C04,C05
001103-00-0028, C02,C03,C04,C06,C01,,,
001103-00-0066, C02,C06,C08,C04,,,,
001103-00-0068, C02,C03,C04,C07,C08,,,
001103-00-0069, C02,C03,C04,C07,C08,,,
001103-00-0072, C02,C07,C04,C03,C06,C05,C01,
001103-00-0075, C02,C03,C05,,,,,
001103-00-0082, C02,C03,,,,,,
001103-00-0102, C02,,,,,,,
001103-00-0113, C02,C03,,,,,,
001103-00-0125, C02,C01=C03,C06,,,,,
001103-00-0143, C02,C08,C07,C03,C05,C06,,
001103-00-0152, C02,,,,,,,
001103-00-0153, C02,,,,,,,
001103-00-0163, C02,,,,,,,
001103-00-0164, C02,C05,C06,C01,,,,
001103-00-0185, C02,C03,C04,C05,C06,C07,C08,C01
001103-00-0194, C02,C07,C03,,,,,
001103-00-0198, C02,C03,,,,,,
001103-00-0204, C02,C03,,,,,,
001103-00-0206, C02,C03,C07,,,,,
001103-00-0245, C02,C06,C05,C03,C01,C08,C07,
001103-00-0246, C02,,,,,,,
001103-00-0251, C02,C03,C04,C01,C08,C07,C05,C06
001103-00-0258, C02,C04,C03,C01,C06,,,
001103-00-0264, C02,C03,,,,,,
001103-00-0286, C02,C03,,,,,,
001103-00-0293, C02,C04,C03,,,,,
001103-00-0320, C02,,,,,,,
001103-00-0323, C02,,,,,,,
001103-00-0329, C02,C01,C04,C07,,,,
001103-00-0334, C02,,,,,,,
001103-00-0341, C02,C03,C04,,,,,
001103-00-0342, C02,C01,C03,,,,,
001103-00-0370, C02,,,,,,,
001103-00-0374, C02,C03,C04,,,,,
001103-00-0383, C02,C04,C03,,,,,
001103-00-0385, C02,C03,C07,C04,,,,
001103-00-0405, C02,,,,,,,
001103-00-0416, C02,C06,C05,,,,,
001103-00-0447, C02,C03,C07,C04,,,,
001103-00-0457, C02,C03,C04,,,,,
001103-00-0472, C02,C03,,,,,,
001103-00-0480, C02,,,,,,,
001103-00-0484, C02,C05,,,,,,
001103-00-0489, C02,C08,C03,C04,C07,,,
001103-00-0500, C02,C08,C05,C03,,,,
001103-00-0507, C02,,,,,,,
001103-00-0531, C02,C05,C08,,,,,
001103-00-0551, C02,C03,C04,C07,,,,
001103-00-0552, C02,C03,,,,,,
001103-00-0557, C02,C06,,,,,,
001103-00-0559, C02,C06,,,,,,
001103-00-0562, C02,C08,C07,C06,C05,C04,C03,
001103-00-0565, C02,,,,,,,
001103-00-0578, C02,C08,C03,C07,C04,,,
001103-00-0582, C02,C03,C08,C04,,,,
001103-00-0585, C02,,,,,,,
001103-00-0586, C02,C03,C06,,,,,
001103-00-0590, C02,,,,,,,
001103-00-0604, C02,C07,C03,,,,,
001103-00-0606, C02,C03,C05,,,,,
001103-00-0617, C02,,,,,,,
001103-00-0623, C02,C08,C05,,,,,
001103-00-0629, C02,C08,C03,,,,,
001103-00-0636, C02,C03,,,,,,
001103-00-0643, C02,C05,C07,C04,,,,
001103-00-0645, C02,C05,C07,C03,C04,,,
001103-00-0665, C02,,,,,,,
001103-00-0675, C02,,,,,,,
001103-00-0699, C02,,,,,,,
001103-00-0712, C02,C03,,,,,,
001103-00-0714, C02,,,,,,,
001103-00-0715, C02,C07,C03,C04,C08,,,
001103-00-0748, C02,C03,C05,C01,C06,,,
001103-00-0750, C02,C03,,,,,,
001103-00-0752, C02,C03,,,,,,
001103-00-0795, C02,,,,,,,
001103-00-0797, C02,C01,,,,,,
001103-00-0798, C02,C03,,,,,,
001103-00-0828, C02,C03,C08,C07,C04,,,
001103-00-0829, C02,,,,,,,
001103-00-0831, C02,C06,C04,C01,C07,C03,C08,C05
001103-00-0834, C02,C05,C04,C08,C03,,,
001103-00-0836, C02,C06,,,,,,
001103-00-0839, C02,,,,,,,
001103-00-0855, C02,C03,C08,C06,,,,
001103-00-0857, C02,C06,,,,,,
001103-00-0868, C02,C03,C06,,,,,
001103-00-0875, C02,,,,,,,
001103-00-0879, C02,C03,C05,C06,C07,C08,C01,
001103-00-0880, C02,C07,,,,,,
001103-00-0893, C02,C06,C04,,,,,
001103-00-0894, C02,C08,,,,,,
001103-00-0898, C02,C03,C04,C08,,,,
001103-00-0902, C02,C01,C08,C03,,,,
001103-00-0912, C02,,,,,,,
001103-00-0917, C02,C06,C08,C03,C04,C07,,
001103-00-0919, C02,C01,C06,,,,,
001103-00-0925, C02,C05,C08,C03,,,,
001103-00-0933, C02,C05,,,,,,
001103-00-0936, C02,C03,C04,,,,,
001103-00-0941, C02,C06,C03,C01,C05,C07,C08,
001103-00-0948, C02,C03,C07,,,,,
001103-00-0950, C02,C03,C04,C07,C08,,,
001103-00-0953, C02,C06,,,,,,
001103-00-0957, C02,C03,C08,C01,C06,,,
001103-00-0979, C02,,,,,,,
001103-00-0982, C02,C08,,,,,,
001103-00-0985, C02,C08,C03,,,,,
001103-00-0987, C02,C04,C03,,,,,
001103-00-0990, C02,C03,C06,,,,,
001103-00-0997, C02,,,,,,,
001103-00-1003, C02,C06,C08,,,,,
001103-00-1005, C02,C07,C06,,,,,
001103-00-1007, C02,,,,,,,
001103-00-1013, C02,C03,,,,,,
001103-00-1016, C02,C03,C04,C07,C08,,,
001103-00-1020, C02,,,,,,,
001103-00-1022, C02,C04,C03,C07,C08,,,
001103-00-1025, C02,C04,C03,C07,C08,,,
001103-00-1027, C02,C03,C08,,,,,
001103-00-1028, C02,C03,C05,C04,C07,C08,,
001103-00-1031, C02,C03,C08,C07,C04,,,
001103-00-1039, C02,C03,,,,,,
001103-00-1051, C02,C01,,,,,,
001103-00-1065, C02,,,,,,,
001103-00-1069, C02,C03,C06,C04,,,,
001103-00-1078, C02,C08,C03,,,,,
001103-00-1092, C02,C04,C01,,,,,
001103-00-1099, C02,C03,C04,C06,C01,,,
001103-00-1110, C02,C03,,,,,,
001103-00-1113, C02,C06,C05,C01,C03,C07,C08,
001103-00-1119, C02,C06,C04,C03,C05,C07,C08,
001103-00-1121, C02,C06,C03,,,,,
001103-00-1125, C02,C06,C04,C03,,,,
001103-00-1128, C02,C07,,,,,,
001103-00-1138, C02,C04,C03,C07,C08,C06,,
001103-00-1143, C02,,,,,,,
001103-00-1150, C02,,,,,,,
001103-00-1154, C02,C03,C06,C08,C07,C04,,
001103-00-1157, C02,C03,C06,C08,C07,C04,,
001103-00-1165, C02,C03,C01,C06,,,,
001103-00-1169, C02,,,,,,,
001103-00-1179, C02,,,,,,,
001103-00-1182, C02,C03,,,,,,
001103-00-1183, C02,C03,C04,C01,,,,
001103-00-1185, C02,,,,,,,
001103-00-1187, C02,C03,C06,,,,,
001103-00-1204, C02,,,,,,,
001103-00-1214, C02,C04,C03,C01,,,,
001103-00-1215, C02,C03,,,,,,
001103-00-1224, C02,C04,C08,,,,,
001103-00-1230, C02,C03,C08,C06,,,,
001103-00-1236, C02,C08,C03,C06,C04,C07,C01,C05
001103-00-1242, C02,C03,C04,,,,,
001103-00-1245, C02,C01,C08,C07,C03,C04,C05,C06
001103-00-1251, C02,C03,C08,,,,,
001103-00-1262, C02,C03,C08,C06,C07,C05,,
001103-00-1268, C02,C04,C05,C06,,,,
001103-00-1278, C02,C08,C04,,,,,
001103-00-1280, C02,,,,,,,
001103-00-1286, C02,C03,,,,,,
001103-00-1297, C02,C05,C06,C08,C01,C04,C03,
001103-00-1299, C02,C03,C01,C08,,,,
001103-00-1300, C02,C03,C06,,,,,
001103-00-1303, C02,C03,C04,C07,C06,C01,C05,C08
001103-00-1305, C02,C05,C07,,,,,
001103-00-1310, C02,C05,C03,C08,C04,,,
001103-00-1322, C02,C03,C06,,,,,
001103-00-1346, C02,,,,,,,
001103-00-1351, C02,,,,,,,
001103-00-1371, C02,C03,,,,,,
001103-00-1375, C02,,,,,,,
001103-00-1378, C02,,,,,,,
001103-00-1388, C02,,,,,,,
001103-00-1389, C02,C03,,,,,,
001103-00-1396, C02,C03,C04,C07,C08,,,
001103-00-1402, C02,C03,C08,C06,,,,
001103-00-1408, C02,C03,C08,,,,,
001103-00-1412, C02,C03,C08,C06,,,,
001103-00-1418, C02,C03,C04,C07,C08,,,
001103-00-1420, C02,C06,,,,,,
001103-00-1423, C02,C03,,,,,,
001103-00-1425, C02,C03=C08,C01,,,,,
001103-00-1430, C02,C03,C08,C07,,,,
001103-00-1432, C02,C03,,,,,,
001103-00-1435, C02,C06,C04,C03,C07,C08,C01,C05
001103-00-1448, C02,,,,,,,
001103-00-1449, C02,C06,C03,,,,,
001103-00-1452, C02,C04,,,,,,
001103-00-1479, C02,,,,,,,
001103-00-1484, C02,C03,C06=C08,,,,,
001103-00-1492, C02,,,,,,,
001103-00-1493, C02,C05,C04,C06,,,,
001103-00-1510, C02,C04,C03,C07,C08,C01,C05,C06
001103-00-1512, C02,C03,C04,,,,,
001103-00-1515, C02,C06,,,,,,
001103-00-1518, C02,C06,C03,,,,,
001103-00-1524, C02,C03,C04,C05,,,,
001103-00-1535, C02,C03,C05,C04,C06,,,
001103-00-1548, C02,C03,,,,,,
001103-00-1564, C02,,,,,,,
001103-00-1569, C02,C05,C06,,,,,
001103-00-1578, C02,,,,,,,
001103-00-1587, C02,C03,,,,,,
001103-00-1598, C02,,,,,,,
001103-00-1616, C02,C08,C04,C07,,,,
001103-00-1618, C02,C07,C03,C04,,,,
001103-00-1621, C02,C04,,,,,,
001103-00-1624, C02,C03,C08,C06,,,,
