ID,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,8th choice,9th choice
000502-00-0409, C01,C03,C02,C09,C08,C07,C06,C05,C04
000502-00-0418, C01,C06,C08,,,,,,
000502-00-0473, C01,C04,C09,C06,C07,C08,C03,C02,
000502-00-0481, C01,C09,C08,C02,,,,,
000502-00-0544, C01,C03,C02,C09,C08,,,,
000502-00-0556, C01,C07,C06,,,,,,
000502-00-0609, C01,C03,C05,C06,C07,C08,C09,,
000502-00-0628, C01,C07,C08,C03,C02,,,,
000502-00-0682, C01,C03,,,,,,,
000502-00-0702, C01,C06,C07,,,,,,
000502-00-0705, C01,C03,C08,C07,C06,C02,C05,C04,C09
000502-00-0707, C01,C03,C08,C07,C06,C02,C05,C04,C09
000502-00-0714, C01,C08,C04,,,,,,
000502-00-0726, C01,,,,,,,,
000502-00-0735, C01,C02,C07,C04,,,,,
000502-00-0767, C01,C08,C03,C07,C04,,,,
000502-00-0786, C01,C08,C02,C09,,,,,
000502-00-0793, C01,C04,C08,,,,,,
000502-00-0862, C01,C06,C03,,,,,,
000502-00-0865, C01,C03,C07,C02,C04,,,,
000502-00-0876, C01,C04,C08,C03,,,,,
000502-00-0919, C01,C07,,,,,,,
000502-00-0941, C01,C07,C04,,,,,,
000502-00-0991, C01,C07,C08,C02,C06,C04,,,
000502-00-1002, C01,C02,C03,C04,,,,,
000502-00-1004, C01,C03,C05,C07,C06,,,,
000502-00-1022, C01,C04,C08,C09,C06,,,,
000502-00-1027, C01,C07,C02,C03,C09,,,,
000502-00-1028, C01,C09,C06,,,,,,
000502-00-1037, C01,C03,C05,C06,C07,,,,
000502-00-1061, C01,,,,,,,,
000502-00-1065, C01,C09,C04,C08,C02,C03,,,
000502-00-1067, C01,,,,,,,,
000502-00-1099, C01,C03,C05,C06,C07,,,,
000502-00-1100, C01,C08,,,,,,,
000502-00-1181, C01,C07,C08,C02,,,,,
000502-00-1190, C01,C02,C07,,,,,,
000502-00-1235, C01,C05,C06,C07,C09,C08,,,
000502-00-1239, C01,C04,C08,C09,C07,C06,,,
000502-00-1250, C01,C08,C07,C09,,,,,
000502-00-1276, C01,C03,C07,,,,,,
000502-00-1292, C01,C08,,,,,,,
000502-00-0044, C01,C07,C09,C02,C04,,,,
000502-00-0049, C01,C02,C09,C03,C04,WI01,,,
000502-00-0050, C01,C03,C07,C06,C05,WI01,,,
001103-00-0012, C01,C08,C04,C09,C02,C06,C03,C07,C05
001103-00-0028, C01,C08,C03,C07,C09,C06,C05,C02,C04
001103-00-0039, C01,C07,C03,C08,C05,C02,C06,C09,
001103-00-0051, C01,C04,,,,,,,
001103-00-0078, C01,C08,C03,,,,,,
001103-00-0094, C01,C08,C07,C06,C02,,,,
001103-00-0107, C01,C08,C06,C04,C02,,,,
001103-00-0126, C01,,,,,,,,
001103-00-0146, C01,C04,C07,,,,,,
001103-00-0147, C01,C08,C07,,,,,,
001103-00-0151, C01,,,,,,,,
001103-00-0180, C01,C07,C08,C05,C09,,,,
001103-00-0222, C01,,,,,,,,
001103-00-0240, C01,C03,C05,,,,,,
001103-00-0250, C01,C05,C03,C08,C09,C07,C06,C04,C02
001103-00-0262, C01,C04,C06,,,,,,
001103-00-0293, C01,C02,C03,C07,C05,C04,C06,C08,C09
001103-00-0306, C01,C09,,,,,,,
001103-00-0319, C01,C07,C05,C03,,,,,
001103-00-0324, C01,C08,C07,,,,,,
001103-00-0329, C01,C08,C05,C02,,,,,
001103-00-0393, C01,C04,C08,C09,C07,C02,,,
001103-00-0402, C01,C02,C03,C04,C05,C06,C07,C08,C09
001103-00-0419, C01,C03,,,,,,,
001103-00-0440, C01,C04,C06,,,,,,
001103-00-0456, C01,C08,,,,,,,
001103-00-0474, C01,C08,C04,C02,,,,,
001103-00-0487, C01,C04,C08,C07,,,,,
001103-00-0514, C01,C03,C07,C08,C09,C05,,,
001103-00-0519, C01,C08,C02,,,,,,
001103-00-0540, C01,C02,C03,C08,C04,C09,C05,C07,
001103-00-0627, C01,C03,C07,C06,C05,,,,
001103-00-0650, C01,C08,C03,C05,,,,,
001103-00-0681, C01,C02,C08,,,,,,
001103-00-0691, C01,C04,C09,C08,C02,,,,
001103-00-0695, C01,C04,C09,C08,C02,,,,
001103-00-0700, C01,,,,,,,,
001103-00-0736, C01,C03,C07,C06,C05,C08,C09,C02,C04
001103-00-0738, C01,C08,C09,C05,C02,,,,
001103-00-0787, C01,C03,C05,C06,C07,,,,
001103-00-0819, C01,C07,C03,C04,C02,,,,
001103-00-0823, C01,C07,C03,C02,C04,C09,C06,,
001103-00-0857, C01,C07,C08,C09,C03,C02,C05,,
001103-00-0864, C01,,,,,,,,
001103-00-0924, C01,C02,C04,C07,C08,C09,C03,C05,C06
001103-00-0931, C01,C05,C07,,,,,,
001103-00-0948, C01,C08,C09,C04,C07,C02,C06,,
001103-00-0956, C01,C03,C07,C08,,,,,
001103-00-0982, C01,,,,,,,,
001103-00-0999, C01,C03,C05,C06,C07,,,,
001103-00-1014, C01,C02,,,,,,,
001103-00-1027, C01,C08,C05,C04,C02,C09,C03,C07,C06
001103-00-1030, C01,C03,C07,C06,C04,,,,
001103-00-1064, C01,C08,C04,C02,C03,,,,
001103-00-1110, C01,C03,C08,,,,,,
001103-00-1165, C01,C02,C03,C04,C09,,,,
001103-00-1171, C01,C08,C04,,,,,,
001103-00-1194, C01,C07,C08,C03,C04,C09,,,
001103-00-1200, C01,C08,C02,C07,,,,,
001103-00-1225, C01,C07,C08,,,,,,
001103-00-1237, C01,,,,,,,,
001103-00-1276, C01,C03,C05,C06,C07,,,,
001103-00-1306, C01,C08,C09,,,,,,
001103-00-1342, C01,C06,C03,C08,C09,,,,
001103-00-1346, C01,C09,C07,C08,C05,C06,C02,C04,C03
000501-00-0009, C01,C09,C07,C02,C04,C08,,,
000501-00-0035, C01,C08,C07,C04,C09,C06,C05,C03,C02
000501-00-0084, C01,C09,C07,C06,C03,C05,,,
000501-00-0102, C01,C03,C09,C05,C08,C06,,,
000501-00-0136, C01,C07,C08,,,,,,
000501-00-0155, C01,C03,C05,C06,,,,,
000501-00-0198, C01,C03,C07,C06,,,,,
000501-00-0241, C01,C08,C07,,,,,,
000501-00-0304, C01,C04,C09,,,,,,
000501-00-0316, C01,C07,C04,C03,C02,C09,C08,,
000501-00-0321, C01,C06,C07,C05,C03,,,,
000501-00-0324, C01,C05,C06,C03,C07,,,,
000501-00-0352, C01,C02,C03,,,,,,
000501-00-0375, C01,,,,,,,,
000501-00-0436, C01,C07,,,,,,,
000501-00-0461, C01,C09,C07,C02,C04,C08,,,
000501-00-0486, C01,C07,C06,C05,C03,C08,C09,C04,C02
000501-00-0536, C01,C04,C08,C09,C03,C07,,,
000501-00-0546, C01,C05,C07,,,,,,
000501-00-0598, C01,C09,C04,C07,,,,,
000501-00-0607, C01,C08,C07,C09,C04,,,,
000501-00-0636, C01,C02,C04,C09,C08,C03,C07,C05,C06
000501-00-0671, C01,C08,C09,,,,,,
000501-00-0683, C01,C08,C09,C02,C07,C04,,,
000501-00-0684, C01,C08,C09,C02,C07,C04,,,
000501-00-0710, C01,C07,C03,C04,C02,C05,C09,,
000501-00-0715, C01,C03,C07,C09,C02,C04,C08,C05,C06
000501-00-0757, C01,,,,,,,,
000501-00-0800, C01,C07,C03,,,,,,
000501-00-0817, C01,,,,,,,,
000501-00-0818, C01,,,,,,,,
000501-00-0822, C01,C09,C08,C02,C04,C06,,,
000501-00-0841, C01,C07,C09,C03,,,,,
000501-00-0844, C01,C07,C09,C04,,,,,
000501-00-0852, C01,C02,C08,C06,C03,,,,
000501-00-0854, C01,C06,C04,C02,C07,C09,,,
000501-00-0890, C01,C07,C04,C05,C09,C08,C06,C03,C02
000501-00-0939, C01,C09,C02,C04,C08,,,,
000501-00-0957, C01,C07,C03,,,,,,
000501-00-0958, C01,C07,,,,,,,
000501-00-0991, C01,C04,C09,C08,C06,,,,
000501-00-0999, C01,C04,C09,C07,C03,C06,,,
000501-00-1013, C01,C07,,,,,,,
000501-00-0079, C01,C03,C05,C06,C07,WI01,,,
000901-00-0008, C01,C08,C04,,,,,,
000901-00-0010, C01,,,,,,,,
000901-00-0015, C01,C08,,,,,,,
000901-00-0020, C01,C02,C08,C09,C03,,,,
000901-00-0024, C01,C09,,,,,,,
000901-00-0026, C01,C09,C08,,,,,,
000901-00-0031, C01,C09,C04,C06,C02,C07,,,
000901-00-0035, C01,C08,C07,C04,C03,C09,,,
000901-00-0037, C01,C09,,,,,,,
000901-00-0039, C01,C09,,,,,,,
000901-00-0043, C01,C09,,,,,,,
000901-00-0059, C01,C08,C07,,,,,,
000901-00-0083, C01,C07,C04,C08,,,,,
000901-00-0086, C01,,,,,,,,
000901-00-0087, C01,,,,,,,,
000901-00-0098, C01,,,,,,,,
000901-00-0114, C01,C09,C08,,,,,,
000901-00-0116, C01,C02,C08,C04,C03,,,,
000901-00-0122, C01,C08,,,,,,,
000901-00-0133, C01,C05,,,,,,,
000901-00-0141, C01,C09,C02,C07,,,,,
000901-00-0146, C01,C08,C09,C02,C04,C07,,,
000901-00-0151, C01,C02,C07,C09,C03,,,,
000901-00-0153, C01,C08,C04,C09,C07,C02,,,
000901-00-0166, C01,,,,,,,,
000901-00-0169, C01,C08,C07,,,,,,
000901-00-0181, C01,C07,C08,C06,,,,,
000901-00-0185, C01,C08,C04,C09,C02,,,,
000901-00-0187, C01,C06,C08,,,,,,
000901-00-0191, C01,C08,,,,,,,
000901-00-0199, C01,C08,,,,,,,
000901-00-0200, C01,C09,C08,,,,,,
000901-00-0204, C01,C09,C03,,,,,,
000901-00-0212, C01,,,,,,,,
000901-00-0216, C01,C03,C07,,,,,,
000901-00-0221, C01,C07,,,,,,,
000901-00-0225, C01,C03,,,,,,,
000901-00-0242, C01,C09,,,,,,,
000901-00-0258, C01,C08,C07,C04,,,,,
000901-00-0263, C01,C08,C07,C03,C04,,,,
000901-00-0271, C01,C03,C07,C08,C09,C05,,,
000901-00-0277, C01,C03,C06,C07,,,,,
000901-00-0287, C01,,,,,,,,
000901-00-0313, C01,,,,,,,,
000901-00-0314, C01,,,,,,,,
000901-00-0317, C01,C06,C08,C04,,,,,
000901-00-0321, C01,,,,,,,,
000901-00-0326, C01,C07,C08,C04,,,,,
000901-00-0328, C01,C07,C08,C03,C09,,,,
000901-00-0334, C01,,,,,,,,
000901-00-0346, C01,C08,C07,,,,,,
000901-00-0353, C01,C08,C07,,,,,,
000901-00-0356, C01,C08,C09,,,,,,
000901-00-0359, C01,C08,C09,,,,,,
000901-00-0369, C01,C08,C03,C06,,,,,
000901-00-0390, C01,C07,C09,C02,C08,C03,C04,C05,
000901-00-0399, C01,,,,,,,,
000901-00-0407, C01,C07,,,,,,,
000901-00-0409, C01,C08,C07,,,,,,
000901-00-0415, C01,,,,,,,,
000901-00-0417, C01,C02,C08,C09,C07,,,,
000901-00-0430, C01,C02,C09,C08,C07,,,,
000901-00-0432, C01,,,,,,,,
000901-00-0436, C01,C08,C04,,,,,,
000901-00-0438, C01,C09,C02,C04,C03,C06,,,
000901-00-0442, C01,C07,C08,,,,,,
000901-00-0447, C01,C08,C09,,,,,,
000901-00-0448, C01,C02,C08,C03,C04,C07,,,
000901-00-0451, C01,C02,C08,C03,C04,C07,,,
000901-00-0456, C01,C07,,,,,,,
000901-00-0457, C01,C08,C06,,,,,,
000901-00-0461, C01,,,,,,,,
000901-00-0464, C01,,,,,,,,
000901-00-0465, C01,C04,C07,,,,,,
000901-00-0471, C01,C08,C04,C02,,,,,
000901-00-0478, C01,C05,C08,,,,,,
000901-00-0484, C01,C08,C03,,,,,,
000901-00-0489, C01,C02,C08,C09,C04,,,,
000901-00-0501, C01,C08,C07,,,,,,
000901-00-0515, C01,C08,C09,,,,,,
000901-00-0525, C01,C07,C04,C02,C08,C09,,,
000901-00-0530, C01,C08,C09,,,,,,
000901-00-0538, C01,C08,C04,C02,C07,C09,C05,C03,C06
000901-00-0545, C01,C06,C08,,,,,,
000901-00-0549, C01,C08,,,,,,,
000901-00-0554, C01,C04,C09,,,,,,
000901-00-0557, C01,,,,,,,,
000901-00-0558, C01,C08,C07,C03,,,,,
000901-00-0561, C01,C08,C07,,,,,,
000901-00-0563, C01,C03,C08,C02,C09,C04,,,
000901-00-0564, C01,C09,C02,C07,C08,C03,,,
000901-00-0584, C01,C08,C09,,,,,,
000901-00-0593, C01,,,,,,,,
000901-00-0600, C01,,,,,,,,
000901-00-0609, C01,C07,C02,C08,C03,C09,C04,C05,C06
000901-00-0639, C01,C08,C09,,,,,,
000901-00-0658, C01,C02,C08,,,,,,
000901-00-0660, C01,C09,C07,,,,,,
000901-00-0662, C01,C08,,,,,,,
000901-00-0665, C01,C08,,,,,,,
000901-00-0667, C01,C08,C03,C09,,,,,
000901-00-0669, C01,,,,,,,,
000901-00-0676, C01,C09,C02,C04,C07,C03,,,
000901-00-0683, C01,C08,C03,C07,,,,,
000901-00-0700, C01,C06,C07,,,,,,
000901-00-0718, C01,C02,C07,C09,,,,,
000901-00-0739, C01,C08,,,,,,,
000901-00-0744, C01,C02,,,,,,,
000901-00-0750, C01,C09,C08,C07,C04,C03,C05,C02,
000901-00-0751, C01,C09,C08,C07,C05,C04,C03,C06,C02
000901-00-0768, C01,C06,C09,,,,,,
000901-00-0771, C01,,,,,,,,
000901-00-0772, C01,,,,,,,,
000901-00-0775, C01,C09,C05,,,,,,
000901-00-0801, C01,C09,C04,C07,C08,C03,C02,,
000901-00-0803, C01,,,,,,,,
000901-00-0818, C01,C02,C04,C08,C09,C03,,,
000901-00-0822, C01,C07,C08,C04,C02,C09,,,
000901-00-0824, C01,C07,C08,C02,,,,,
000901-00-0834, C01,C03,C07,C08,,,,,
000901-00-0840, C01,C02,C05,C09,,,,,
000901-00-0848, C01,C09,,,,,,,
000901-00-0862, C01,,,,,,,,
000901-00-0875, C01,C08,C07,C04,C02,C09,,,
000901-00-0878, C01,C08,C09,C04,C02,C06,,,
000901-00-0882, C01,C09,C03,,,,,,
000901-00-0888, C01,C03,C07,C08,C09,C04,C02,C05,C06
000901-00-0896, C01,C07,C09,C08,,,,,
000901-00-0898, C01,C09,C07,C08,,,,,
000901-00-0914, C01,C08,C07,,,,,,
000901-00-0915, C01,C09,C03,,,,,,
000901-00-0943, C01,C07,C09,,,,,,
000901-00-0961, C01,C06,C08,,,,,,
000901-00-0974, C01,C07,C09,,,,,,
000901-00-0981, C01,,,,,,,,
000901-00-0982, C01,C09,C06,C08,,,,,
000901-00-0987, C01,,,,,,,,
000901-00-0994, C01,,,,,,,,
000901-00-1000, C01,C08,C03,,,,,,
000901-00-1002, C01,C09,C07,,,,,,
000901-00-1008, C01,C08,C02,,,,,,
000901-00-1013, C01,,,,,,,,
000901-00-1016, C01,C08,,,,,,,
000901-00-1023, C01,C09,C04,,,,,,
000901-00-1025, C01,C09,C04,,,,,,
000901-00-1027, C01,,,,,,,,
000901-00-1042, C01,,,,,,,,
000901-00-1046, C01,,,,,,,,
000901-00-1061, C01,C08,C02,,,,,,
000901-00-1063, C01,C02,,,,,,,
000901-00-1065, C01,,,,,,,,
000901-00-1068, C01,C09,,,,,,,
000901-00-1074, C01,,,,,,,,
000901-00-1081, C01,C09,C08,C04,C03,C07,C06,C05,C02
000901-00-1092, C01,C07,C09,C03,C06,C05,C04,C02,C08
000901-00-1099, C01,,,,,,,,
000901-00-1101, C01,C09,C03,C04,C06,C08,,,
000901-00-1104, C01,C03,C06,C08,,,,,
000901-00-1106, C01,C07,C04,,,,,,
000901-00-1109, C01,C08,C07,C03,,,,,
000901-00-1119, C01,C08,C09,,,,,,
000901-00-1128, C01,C09,C02,C07,C08,,,,
000901-00-1131, C01,,,,,,,,
000901-00-1133, C01,C03,C09,C08,C07,,,,
000901-00-1139, C01,C08,C07,,,,,,
000901-00-1147, C01,C07,C09,C02,,,,,
000901-00-1153, C01,C08,C09,,,,,,
000901-00-1192, C01,C08,C03,C07,C09,C02,C06,C05,C04
000901-00-1193, C01,C07,,,,,,,
000901-00-1199, C01,C07,C08,C09,,,,,
000901-00-1206, C01,C09,C08,C04,,,,,
000901-00-1218, C01,C08,C09,C07,,,,,
000901-00-1228, C01,,,,,,,,
000901-00-1232, C01,,,,,,,,
000901-00-1236, C01,C08,,,,,,,
000901-00-1238, C01,C08,,,,,,,
000901-00-1244, C01,C08,,,,,,,
000901-00-1262, C01,,,,,,,,
000901-00-1273, C01,C08,C09,C07,,,,,
000901-00-1276, C01,C08,C09,C05,C04,C06,C03,,
000901-00-1278, C01,C09,,,,,,,
000901-00-1282, C01,C08,C07,C09,,,,,
000901-00-1285, C01,C03,C07,C08,C09,C04,C02,C05,C06
000901-00-1288, C01,C09,C08,C04,C02,C05,,,
000901-00-1317, C01,C08,C07,,,,,,
000901-00-1326, C01,C08,,,,,,,
000901-00-1327, C01,C03,C09,C06,,,,,
000901-00-1330, C01,C03,C09,C06,,,,,
000901-00-1332, C01,C09,C06,,,,,,
000901-00-1342, C01,C08,C07,C03,,,,,
000901-00-1348, C01,C03,C05,C06,C07,,,,
000901-00-1353, C01,C08,C09,C04,,,,,
000901-00-1357, C01,C08,C07,,,,,,
000901-00-1361, C01,C08,C02,,,,,,
000901-00-1366, C01,,,,,,,,
000901-00-1368, C01,C03,C09,,,,,,
000901-00-1373, C01,C06,,,,,,,
000901-00-1377, C01,C07,C02,,,,,,
000901-00-1404, C01,C08,,,,,,,
000901-00-1412, C01,C08,C02,C05,,,,,
000901-00-1423, C01,C07,C09,,,,,,
000901-00-1428, C01,C08,C07,,,,,,
000901-00-1437, C01,C08,C03,C09,,,,,
000901-00-1443, C01,C07,C02,,,,,,
000901-00-1450, C01,C06,C03,C07,C05,C08,C09,C02,C04
000901-00-1453, C01,C09,C05,C06,C07,C03,,,
000901-00-1458, C01,C07,C06,C05,C03,C09,C08,C04,C02
000901-00-1472, C01,C08,C07,,,,,,
000901-00-1483, C01,C05,,,,,,,
000901-00-1491, C01,,,,,,,,
000901-00-1494, C01,C08,,,,,,,
000901-00-1527, C01,,,,,,,,
000901-00-1528, C01,C09,,,,,,,
000901-00-1537, C01,C02,C08,,,,,,
000901-00-1546, C01,C04,,,,,,,
000901-00-1560, C01,C09,C04,C07,C06,,,,
000901-00-1562, C01,C08,C07,C09,,,,,
000901-00-1565, C01,C09,C08,,,,,,
000901-00-1576, C01,C09,C04,,,,,,
000901-00-1585, C01,C09,C04,C07,C06,,,,
000901-00-1596, C01,C08,,,,,,,
000901-00-1599, C01,C08,,,,,,,
000901-00-1603, C01,,,,,,,,
000901-00-1611, C01,C07,C08,,,,,,
000901-00-1618, C01,C09,C08,C05,,,,,
000901-00-1623, C01,,,,,,,,
000901-00-1629, C01,C09,C07,C03,C08,,,,
000901-00-1648, C01,,,,,,,,
000901-00-1650, C01,,,,,,,,
000901-00-1658, C01,C02,C05,,,,,,
000901-00-1683, C01,,,,,,,,
000901-00-1686, C01,C07,,,,,,,
000901-00-1697, C01,C08,C03,,,,,,
000901-00-1705, C01,,,,,,,,
000901-00-1706, C01,C03,C02,C08,C09,C07,,,
000901-00-1708, C01,C06,C09,,,,,,
000901-00-1715, C01,C09,C08,,,,,,
000901-00-1717, C01,C02,C08,C09,,,,,
000901-00-1724, C01,C02,C09,C07,C06,,,,
000901-00-1741, C01,C06,C02,C08,C03,C04,,,
000901-00-1753, C01,C09,C08,C03,,,,,
000901-00-1754, C01,C09,C07,C02,C04,C08,,,
000901-00-1758, C01,C08,,,,,,,
000901-00-1769, C01,,,,,,,,
000901-00-1777, C01,C08,C02,,,,,,
000901-00-0133, C01,,,,,,,,
000901-00-0134, C01,C07,C08,C04,,,,,
000901-00-0138, C01,,,,,,,,
000901-00-0139, C01,C07,C08,C04,C02,C06,,,
000901-00-0154, C01,C09,,,,,,,
000901-00-0157, C01,C08,,,,,,,
000901-00-0161, C01,,,,,,,,
000901-00-0162, C01,,,,,,,,
000901-00-0169, C01,C09,C08,C07,C04,C02,,,
000901-00-0179, C01,C08,C07,C05,C04,C03,C06,C02,
000901-00-0182, C01,C02,C03,C04,C05,,,,
000102-00-0069, C01,C07,C06,,,,,,
000102-00-0145, C01,C07,C08,C03,,,,,
000102-00-0183, C01,C02,,,,,,,
000102-00-0290, C01,C08,,,,,,,
000102-00-0321, C01,C07,C08,C03,,,,,
000102-00-0529, C01,C03,C05,C06,C07,,,,
000102-00-0551, C01,C02,C08,,,,,,
000102-00-0617, C01,C03,C02,C04,C05,C06,C07,C08,
000102-00-0635, C01,,,,,,,,
000102-00-0658, C01,,,,,,,,
000102-00-0718, C01,C08,C05,,,,,,
000102-00-0777, C01,C02,C06,C07,C08,C09,,,
000102-00-0782, C01,C08,C03,,,,,,
000102-00-0961, C01,C08,C02,,,,,,
000102-00-0975, C01,C03,C05,C06,C07,C08,,,
000903-00-0021, C01,C07,C03,,,,,,
000903-00-0036, C01,C03,C09,C08,C04,,,,
000903-00-0040, C01,C09,C08,C03,C06,C02,C04,C07,C05
000903-00-0041, C01,C08,C09,C07,C04,C03,,,
000903-00-0044, C01,C08,C09,C04,C02,C07,,,
000903-00-0061, C01,C08,,,,,,,
000903-00-0066, C01,C04,C08,,,,,,
000903-00-0091, C01,C07,C04,,,,,,
000903-00-0096, C01,C07,C04,C05,,,,,
000903-00-0126, C01,C07,,,,,,,
000903-00-0144, C01,C08,,,,,,,
000903-00-0184, C01,C07,C05,C03,C06,,,,
000903-00-0237, C01,C04,,,,,,,
000903-00-0241, C01,C08,C04,C03,C06,C02,,,
000903-00-0280, C01,C08,C07,C04,,,,,
000903-00-0301, C01,C07,C09,,,,,,
000903-00-0304, C01,C07,C09,,,,,,
000903-00-0334, C01,,,,,,,,
000903-00-0344, C01,C08,C09,,,,,,
000903-00-0361, C01,C02,C05,C06,C08,C04,C09,,
000903-00-0392, C01,C08,C05,,,,,,
000903-00-0420, C01,C08,C09,C05,C04,,,,
000903-00-0425, C01,C02,,,,,,,
000903-00-0498, C01,,,,,,,,
000903-00-0521, C01,C07,C03,C08,,,,,
000903-00-0554, C01,C03,C04,,,,,,
000903-00-0561, C01,C08,C07,C03,C06,,,,
000903-00-0596, C01,C08,C09,C05,,,,,
000903-00-0616, C01,C08,,,,,,,
000903-00-0619, C01,C08,C04,C02,C07,,,,
000903-00-0620, C01,C08,C04,C02,C07,,,,
000903-00-0624, C01,C03,C07,C08,,,,,
000903-00-0635, C01,C07,C03,C08,,,,,
000903-00-0637, C01,C08,C02,,,,,,
000903-00-0638, C01,,,,,,,,
000903-00-0653, C01,,,,,,,,
000903-00-0672, C01,C08,C03,C07,,,,,
000903-00-0676, C01,C09,,,,,,,
000903-00-0694, C01,C04,C02,C03,C06,C07,C09,,
000903-00-0703, C01,C08,C07,C04,C05,C03,C06,C09,C02
000903-00-0732, C01,C05,C08,C02,C03,,,,
000903-00-0736, C01,C02,C08,,,,,,
000903-00-0738, C01,C07,,,,,,,
000903-00-0818, C01,C03,C07,C06,C08,C09,,,
000903-00-0838, C01,C04,C08,,,,,,
000903-00-0845, C01,C03,C08,C05,,,,,
000903-00-0862, C01,C08,C07,,,,,,
000903-00-0872, C01,,,,,,,,
000903-00-0878, C01,C04,C08,C07,,,,,
000903-00-0881, C01,C02,C05,,,,,,
000903-00-0884, C01,C08,C07,,,,,,
000903-00-0940, C01,C07,C05,,,,,,
000903-00-0965, C01,C05,C04,C02,C08,,,,
000903-00-1014, C01,C03,C09,C04,C08,C06,C05,C07,C02
000903-00-1028, C01,C08,C03,C07,C06,,,,
000903-00-1044, C01,C06,C09,,,,,,
000903-00-1047, C01,C07,C02,C04,C08,,,,
000903-00-1071, C01,C09,,,,,,,
000903-00-1087, C01,,,,,,,,
