ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice
000403-00-0026,C02,,,,,,,,,,,,,,,,,,,,,,
000403-00-0028,C14,C02,C04,,,,,,,,,,,,,,,,,,,,
000403-00-0031,C02,C15,C14,C19,C20,C21,,,,,,,,,,,,,,,,,
000403-00-0032,C01,C02,C03,C10,C12,C14,C19,C20,C21,C18,C17,C16,C15,C13,C11,C09,C08,C07,C06,C05,C04,C23,C22
000403-00-0034,C10,C12,C15,C19,C20,C01,C02,C03,C14,,,,,,,,,,,,,,
000403-00-0035,C20,,,,,,,,,,,,,,,,,,,,,,
000403-00-0037,C12,C10,C19,C20,C15,C03,C01,,,,,,,,,,,,,,,,
000403-00-0039,C19,C01,C15,C03,,,,,,,,,,,,,,,,,,,
000403-00-0041,C14,C01,C15,C19,,,,,,,,,,,,,,,,,,,
000403-00-0043,C15,C19,C03,C01,C12,C08,C22,C20,C21,C05,,,,,,,,,,,,,
000403-00-0045,C14,C10,C15,,,,,,,,,,,,,,,,,,,,
000403-00-0047,C14,C06,C22,C07,C01,C19,,,,,,,,,,,,,,,,,
000403-00-0050,C19,C03,C10,C12,C15,C20,C01,C05,C06,,,,,,,,,,,,,,
000403-00-0052,C12,C03,C15,C19,C08,,,,,,,,,,,,,,,,,,
000403-00-0053,C15,C03,C21,,,,,,,,,,,,,,,,,,,,
000403-00-0056,C12,C19,C20,C01,C03,C15,,,,,,,,,,,,,,,,,
000403-00-0057,C02,C04,C08,C14,C21,C22,C10,,,,,,,,,,,,,,,,
000403-00-0058,C03,C06,C23,C02,C04,C08,C14,C11,C19,,,,,,,,,,,,,,
000403-00-0060,C14,C01,C02,C19,C06,C10,C18,,,,,,,,,,,,,,,,
000403-00-0063,C14,C05,C21,,,,,,,,,,,,,,,,,,,,
000403-00-0065,C14,C06,,,,,,,,,,,,,,,,,,,,,
000403-00-0066,C06,C10,C15,C19,C14,C20,C02,C01,,,,,,,,,,,,,,,
000403-00-0069,C05,C19,C08,C15,C10,C01,C02,C20,,,,,,,,,,,,,,,
000403-00-0070,C19,C11,C02,C03,C12,C14,C01,C15,C20,C04,C16,C18,C06,C21,C10,C07,C08,C13,C17,C22,C23,C05,C09
000403-00-0073,C12,,,,,,,,,,,,,,,,,,,,,,
000403-00-0075,C14,C16,C19,C21,C01,,,,,,,,,,,,,,,,,,
000403-00-0077,C19,C20,C21,C18,C22,C23,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C11,C13,C14,C15,C16,C17
000403-00-0078,C19,,,,,,,,,,,,,,,,,,,,,,
000403-00-0080,C12,C21,C20,C03,,,,,,,,,,,,,,,,,,,
000403-00-0083,C08,C02,C03,C10,C06,C15,C22,C21,C23,,,,,,,,,,,,,,
000403-00-0085,C19,C15,C12,,,,,,,,,,,,,,,,,,,,
000403-00-0087,C12,C01,C14,C03,C20,C10,C11,C15,C16,C17,C18,C19,C21,C22,C23,C02,C04,C05,C06,C07,C08,C09,
000403-00-0089,C08,C01,C03,C10,C06,C15,C22,C21,C14,,,,,,,,,,,,,,
000403-00-0090,C02,C04,C08,C06,C22,C14,C21,,,,,,,,,,,,,,,,
000403-00-0091,C23,C12,C20,C09,,,,,,,,,,,,,,,,,,,
000403-00-0093,C02,,,,,,,,,,,,,,,,,,,,,,
000403-00-0094,C21,,,,,,,,,,,,,,,,,,,,,,
000403-00-0097,C03,C05,,,,,,,,,,,,,,,,,,,,,
000403-00-0099,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
000403-00-0101,C23,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
000403-00-0102,C14,C21,C03,C01,C10,C12,C19,C20,C02,C15,,,,,,,,,,,,,
000403-00-0105,C19,C15,C01,C20,,,,,,,,,,,,,,,,,,,
000403-00-0106,C21,C01,C03,C14,,,,,,,,,,,,,,,,,,,
000403-00-0108,C21,C19,C03,C14,C08,,,,,,,,,,,,,,,,,,
000403-00-0109,C14,C06,C05,C09,C11,C21,C03,C02,C16,C08,C04,C19,C15,C17,C18,C20,C22,C23,C13,C12,C10,C01,
000403-00-0110,C21,C15,C03,C12,,,,,,,,,,,,,,,,,,,
000403-00-0113,C12,,,,,,,,,,,,,,,,,,,,,,
000403-00-0115,C19,C15,,,,,,,,,,,,,,,,,,,,,
000403-00-0117,C19,,,,,,,,,,,,,,,,,,,,,,
000403-00-0118,C23,C04,C03,C11,C16,C20,C06,C14,,,,,,,,,,,,,,,
000403-00-0120,C12,C19,C01,,,,,,,,,,,,,,,,,,,,
000403-00-0122,C12,C19,C21,C20,C03,,,,,,,,,,,,,,,,,,
000403-00-0125,C14,C06,C12,C15,,,,,,,,,,,,,,,,,,,
000403-00-0127,C12,C10,C20,C21,C01,C02,C04,,,,,,,,,,,,,,,,
000403-00-0128,C14,,,,,,,,,,,,,,,,,,,,,,
000403-00-0130,C14,C15,C10,C08,,,,,,,,,,,,,,,,,,,
000403-00-0132,C12,,,,,,,,,,,,,,,,,,,,,,
000403-00-0133,C19,C05,C08,C21,,,,,,,,,,,,,,,,,,,
000403-00-0135,C19,C01,,,,,,,,,,,,,,,,,,,,,
000403-00-0137,C21,C14,,,,,,,,,,,,,,,,,,,,,
000403-00-0139,C01,C16,C20,,,,,,,,,,,,,,,,,,,,
000403-00-0140,C01,C10,C19,C12,C03,C20,C14,C21,C04,C17,,,,,,,,,,,,,
000403-00-0143,C02,C14,C08,C22,C04,,,,,,,,,,,,,,,,,,
000403-00-0144,C01,C19,C15,C12,C20,C21,C04,,,,,,,,,,,,,,,,
000403-00-0147,C21,C04,C03,C13,C05,C19,,,,,,,,,,,,,,,,,
000403-00-0148,C10,C04,C21,C20,C01,C12,C15,C14,C23,,,,,,,,,,,,,,
000403-00-0151,C15,C10,C14,C12,C16,C19,C20,C21,C22,C01,C02,C03,,,,,,,,,,,
000403-00-0153,C06,C21,C12,C14,C01,C03,,,,,,,,,,,,,,,,,
000403-00-0155,C15,,,,,,,,,,,,,,,,,,,,,,
000403-00-0156,C04,C21,C12,C14,C15,C20,,,,,,,,,,,,,,,,,
000403-00-0158,C19,C01,C15,C12,C20,C03,,,,,,,,,,,,,,,,,
000403-00-0161,C19,C23,C12,C14,C08,C20,C02,C04,C13,C21,C22,,,,,,,,,,,,
000403-00-0162,C01,C21,C15,C10,,,,,,,,,,,,,,,,,,,
000403-00-0165,C10,C12,C15,C01,,,,,,,,,,,,,,,,,,,
000403-00-0166,C19,C05,C01,,,,,,,,,,,,,,,,,,,,
000403-00-0168,C08,C14,C06,C21,C02,,,,,,,,,,,,,,,,,,
000403-00-0170,C21,C03,C17,C07,C01,,,,,,,,,,,,,,,,,,
000403-00-0172,C10,C20,C03,C12,,,,,,,,,,,,,,,,,,,
000403-00-0174,C19,,,,,,,,,,,,,,,,,,,,,,
000403-00-0177,C10,C20,C12,C03,C01,C02,C19,C21,,,,,,,,,,,,,,,
000403-00-0178,C14,C16,C11,C18,C05,C09,C01,C03,C10,C20,,,,,,,,,,,,,
000403-00-0181,C15,C20,C21,C01,C03,C12,,,,,,,,,,,,,,,,,
000403-00-0183,C15,C03,C12,C20,C19,C01,C10,,,,,,,,,,,,,,,,
000403-00-0184,C21,C20,C19,C03,C10,C12,C14,C15,C05,C07,,,,,,,,,,,,,
000403-00-0185,C23,C15,C01,C20,C03,C19,C21,C12,C10,,,,,,,,,,,,,,
000403-00-0186,C15,,,,,,,,,,,,,,,,,,,,,,
000403-00-0188,C08,C23,C02,C19,,,,,,,,,,,,,,,,,,,
000403-00-0191,C12,C08,,,,,,,,,,,,,,,,,,,,,
000403-00-0192,C13,C01,C19,,,,,,,,,,,,,,,,,,,,
000403-00-0195,C01,C19,,,,,,,,,,,,,,,,,,,,,
000403-00-0197,C06,C19,C03,C10,C15,C20,C12,,,,,,,,,,,,,,,,
000403-00-0198,C03,C14,C19,C18,C15,C02,C11,C08,C10,C12,C20,C01,C04,C05,C21,C07,C09,C13,C16,C17,C22,C06,C23
000403-00-0201,C01,C19,C15,,,,,,,,,,,,,,,,,,,,
000403-00-0202,C15,C10,C04,,,,,,,,,,,,,,,,,,,,
000403-00-0205,C20,C15,,,,,,,,,,,,,,,,,,,,,
000403-00-0207,C01,C03,C22,,,,,,,,,,,,,,,,,,,,
000403-00-0209,C19,C20,C01,,,,,,,,,,,,,,,,,,,,
000403-00-0210,C12,C10,C15,C19,C01,C03,C20,,,,,,,,,,,,,,,,
000403-00-0212,C12,C23,C17,C11,C07,C22,C14,C16,C21,C02,C08,,,,,,,,,,,,
000403-00-0213,C06,C19,C02,C04,C07,C22,C15,C14,C12,C21,C01,,,,,,,,,,,,
000403-00-0215,C03,C15,C12,C19,C01,C10,C20,C06,C17,,,,,,,,,,,,,,
000403-00-0216,C01,,,,,,,,,,,,,,,,,,,,,,
000403-00-0219,C12,C20,C19,C03,,,,,,,,,,,,,,,,,,,
000403-00-0220,C21,,,,,,,,,,,,,,,,,,,,,,
000403-00-0223,C21,C03,C19,C14,,,,,,,,,,,,,,,,,,,
000403-00-0224,C19,C01,C12,,,,,,,,,,,,,,,,,,,,
000403-00-0226,C14,C12,C10,C18,,,,,,,,,,,,,,,,,,,
000403-00-0228,C03,C10,C21,C19,,,,,,,,,,,,,,,,,,,
000403-00-0231,C14,C06,C07,,,,,,,,,,,,,,,,,,,,
000403-00-0232,C21,,,,,,,,,,,,,,,,,,,,,,
000403-00-0235,C20,C21,C04,C13,C05,,,,,,,,,,,,,,,,,,
000403-00-0236,C06,C04,C14,C08,C02,,,,,,,,,,,,,,,,,,
000403-00-0239,C02,C05,C04,C09,C10,C12,C06,C03,C08,C13,C14,C22,C01,C18,C19,C11,C15,C21,C20,C23,C17,C07,C16
000403-00-0241,C19,C15,C14,C12,C10,C03,C02,C22,C01,C20,,,,,,,,,,,,,
000403-00-0242,C14,C21,C01,,,,,,,,,,,,,,,,,,,,
000403-00-0245,C15,C03,C19,C04,C21,C14,C12,C10,C02,C01,C20,,,,,,,,,,,,
000403-00-0246,C19,C15,C03,C10,C21,C12,C06,C20,C01,C04,C02,C13,C08,,,,,,,,,,
000403-00-0247,C03,C06,C15,C14,C19,C07,,,,,,,,,,,,,,,,,
000403-00-0249,C03,C14,C04,,,,,,,,,,,,,,,,,,,,
000403-00-0252,C03,C01,C06,,,,,,,,,,,,,,,,,,,,
000403-00-0253,C14,C06,C02,C22,C21,C03,C19,C08,C04,,,,,,,,,,,,,,
000403-00-0256,C03,C21,,,,,,,,,,,,,,,,,,,,,
000403-00-0257,C08,C02,C15,C10,C06,C03,,,,,,,,,,,,,,,,,
000403-00-0259,C08,C03,C02,C01,,,,,,,,,,,,,,,,,,,
000403-00-0261,C04,C15,C03,C19,C14,C01,C21,C10,,,,,,,,,,,,,,,
000403-00-0264,C04,C15,C03,C19,C14,C01,C21,C10,,,,,,,,,,,,,,,
000403-00-0266,C12,C01,,,,,,,,,,,,,,,,,,,,,
000403-00-0267,C14,C22,C06,,,,,,,,,,,,,,,,,,,,
000403-00-0270,C14,C12,C05,,,,,,,,,,,,,,,,,,,,
000403-00-0271,C14,C01,C05,C22,C06,C09,C21,C15,C12,,,,,,,,,,,,,,
000403-00-0274,C04,C08,C14,C22,C02,C21,C15,C19,C01,C06,C03,,,,,,,,,,,,
000403-00-0276,C06,C14,C08,C21,C23,C22,C04,C03,C19,C17,C18,C12,C11,C09,C07,C02,C05,C16,C15,C01,C20,C10,
000403-00-0277,C09,C05,C10,C15,C20,C19,C03,C12,C01,C14,,,,,,,,,,,,,
000403-00-0279,C06,C14,C08,C21,C23,C22,C04,C03,C19,C17,C18,C12,C11,C10,C07,C02,C05,C16,C09,C13,C01,C20,C15
000403-00-0281,C11,,,,,,,,,,,,,,,,,,,,,,
000403-00-0283,C01,C10,C08,C22,,,,,,,,,,,,,,,,,,,
000403-00-0285,C01,C10,C22,C08,C06,C03,C14,C15,,,,,,,,,,,,,,,
000403-00-0288,C01,C19,C20,C12,C15,C03,,,,,,,,,,,,,,,,,
000403-00-0290,C01,C19,C21,C14,C04,C11,C22,C15,C06,,,,,,,,,,,,,,
000403-00-0291,C15,C10,C03,C19,C21,,,,,,,,,,,,,,,,,,
000403-00-0293,C19,C22,C14,C15,C12,,,,,,,,,,,,,,,,,,
000403-00-0295,C01,C14,C06,,,,,,,,,,,,,,,,,,,,
000403-00-0297,C01,C19,C22,C06,C02,,,,,,,,,,,,,,,,,,
000403-00-0299,C04,C19,C15,C14,C03,C01,,,,,,,,,,,,,,,,,
000403-00-0300,C19,C21,C05,C08,C14,,,,,,,,,,,,,,,,,,
000403-00-0303,C14,C02,C08,C15,C04,C10,C21,C19,C03,C12,,,,,,,,,,,,,
000403-00-0304,C14,C01,C02,C15,C19,C20,C03,,,,,,,,,,,,,,,,
000403-00-0306,C08,C14,,,,,,,,,,,,,,,,,,,,,
000403-00-0307,C05,C19,C15,C14,C21,C03,C08,C11,C12,C18,C20,C02,C01,C04,C06,C13,C16,C10,C09,C17,C07,C23,C22
000403-00-0309,C19,C01,C03,C15,C14,C12,C10,C02,C17,C18,C20,C22,C21,C23,C04,C05,C06,C07,C08,C09,C11,C13,C16
000403-00-0312,C15,C03,C19,C21,C10,C20,C12,C06,C01,C04,C08,C17,C02,C13,,,,,,,,,
000403-00-0313,C04,C10,C08,C14,C02,C06,,,,,,,,,,,,,,,,,
000403-00-0009,,,,,,,,,,,,,,,,,,,,,,,
000403-00-0010,,,,,,,,,,,,,,,,,,,,,,,
000403-00-0011,C19,C01,C15,C03,C10,WI0,C20,C12,C06,C17,C23,C21,C22,C05,C09,C16,C13,,,,,,
000403-00-0012,C11,C21,C02,C04,C01,C16,C10,C06,WI0,,,,,,,,,,,,,,
000403-00-0013,C01,,,,,,,,,,,,,,,,,,,,,,
000401-00-0002,C14,,,,,,,,,,,,,,,,,,,,,,
000401-00-0003,C03,C15,C12,C19,C01,C10,C20,C06,C17,,,,,,,,,,,,,,
000401-00-0006,C04,C14,C08,C06,,,,,,,,,,,,,,,,,,,
000401-00-0007,C14,C06,C22,C02,C11,,,,,,,,,,,,,,,,,,
000401-00-0009,C19,C01,C15,C03,,,,,,,,,,,,,,,,,,,
000401-00-0011,C01,C19,,,,,,,,,,,,,,,,,,,,,
000401-00-0013,C21,C14,C06,C10,C19,C22,C20,C04,C03,C23,,,,,,,,,,,,,
000401-00-0016,C06,C01,C03,C08,C10,C11,C21,C19,C04,,,,,,,,,,,,,,
000401-00-0017,C15,C16,C10,,,,,,,,,,,,,,,,,,,,
000401-00-0019,C15,C19,C08,C14,C03,C21,,,,,,,,,,,,,,,,,
000401-00-0023,C22,C04,C08,C02,C14,C21,C11,,,,,,,,,,,,,,,,
000401-00-0025,C19,C14,C10,C12,C15,C20,C03,C02,C01,,,,,,,,,,,,,,
000401-00-0027,C04,C02,C14,C22,C08,C06,C01,C19,,,,,,,,,,,,,,,
000401-00-0028,C15,C03,,,,,,,,,,,,,,,,,,,,,
000401-00-0029,C06,,,,,,,,,,,,,,,,,,,,,,
000401-00-0032,C02,C04,C08,C14,C22,C01,,,,,,,,,,,,,,,,,
000401-00-0034,C06,C14,C22,C21,C02,C04,C08,C19,C15,,,,,,,,,,,,,,
000401-00-0035,C06,C14,C22,C21,C02,C04,C08,C19,C15,,,,,,,,,,,,,,
000401-00-0037,C19,C21,C14,C10,C02,C03,C04,C01,C13,C12,C08,C20,,,,,,,,,,,
000401-00-0039,C02,C14,C04,C22,C06,C08,,,,,,,,,,,,,,,,,
000401-00-0041,C14,C06,C22,C10,,,,,,,,,,,,,,,,,,,
000401-00-0042,C14,C10,C06,C02,C22,C04,C03,,,,,,,,,,,,,,,,
000401-00-0045,C19,C14,C04,C01,C02,C15,C21,C23,,,,,,,,,,,,,,,
000401-00-0047,C03,C15,C19,C10,C21,C20,C12,,,,,,,,,,,,,,,,
000401-00-0048,C14,C15,C19,,,,,,,,,,,,,,,,,,,,
000401-00-0051,C08,C07,C06,C11,C13,C16,C17,C21,C22,C04,C05,C03,C02,C01,C20,C19,C15,C14,C12,C10,C09,,
000401-00-0052,C06,C01,C14,C12,C10,,,,,,,,,,,,,,,,,,
000401-00-0055,C14,C08,C02,C21,C10,,,,,,,,,,,,,,,,,,
000401-00-0057,C15,C01,C02,C21,C03,C19,,,,,,,,,,,,,,,,,
000401-00-0059,C15,C19,C01,C02,C10,C03,C05,C04,,,,,,,,,,,,,,,
000401-00-0060,C22,C14,C06,,,,,,,,,,,,,,,,,,,,
000401-00-0062,C12,C20,C02,C15,C19,C10,C03,C01,C14,,,,,,,,,,,,,,
000401-00-0064,C03,C22,C19,,,,,,,,,,,,,,,,,,,,
000401-00-0066,C10,C03,C15,,,,,,,,,,,,,,,,,,,,
000401-00-0068,C01,C13,C22,,,,,,,,,,,,,,,,,,,,
000401-00-0071,C11,C13,C02,C01,C14,C10,C03,C05,C19,,,,,,,,,,,,,,
000401-00-0072,C03,C19,C22,C21,C08,C09,,,,,,,,,,,,,,,,,
000401-00-0074,C01,C19,,,,,,,,,,,,,,,,,,,,,
000401-00-0076,C03,C08,C21,C19,C10,C15,C04,,,,,,,,,,,,,,,,
000401-00-0079,C19,C03,C10,C15,C02,C08,C05,C06,C21,,,,,,,,,,,,,,
000401-00-0081,C01,C19,C22,C04,C06,C05,,,,,,,,,,,,,,,,,
000401-00-0083,C21,C03,C19,C15,,,,,,,,,,,,,,,,,,,
000401-00-0084,C14,C03,C19,C21,C10,C06,C22,C08,C15,,,,,,,,,,,,,,
000401-00-0085,C03,,,,,,,,,,,,,,,,,,,,,,
000401-00-0087,C14,C01,C02,C03,C04,C19,C15,C20,C10,C22,C06,C12,C21,C08,,,,,,,,,
000401-00-0090,C19,C14,C01,C15,C06,C04,C10,C20,,,,,,,,,,,,,,,
000401-00-0093,C10,C03,C15,,,,,,,,,,,,,,,,,,,,
000401-00-0094,C19,C01,,,,,,,,,,,,,,,,,,,,,
000401-00-0095,C14,C20,C15,C01,C03,C19,C04,C02,,,,,,,,,,,,,,,
000401-00-0097,C01,C19,C12,C15,C20,,,,,,,,,,,,,,,,,,
000401-00-0100,C02,C04,C05,C19,C01,,,,,,,,,,,,,,,,,,
000401-00-0102,C15,C14,C01,,,,,,,,,,,,,,,,,,,,
000401-00-0103,C19,C15,C03,C11,C04,,,,,,,,,,,,,,,,,,
000401-00-0105,C19,C03,C10,C01,C14,C21,C06,C20,C22,C12,C15,,,,,,,,,,,,
000401-00-0107,C19,C15,C03,C01,,,,,,,,,,,,,,,,,,,
000401-00-0108,C15,C14,C02,C08,C21,C06,,,,,,,,,,,,,,,,,
000401-00-0110,C04,C08,C19,C20,C12,C15,C10,,,,,,,,,,,,,,,,
000401-00-0113,C12,C19,C20,C01,C02,C03,C14,,,,,,,,,,,,,,,,
000401-00-0115,C14,C06,C03,C15,C17,C19,C22,C01,,,,,,,,,,,,,,,
000401-00-0117,C12,C19,C14,C15,C01,C02,C03,C10,,,,,,,,,,,,,,,
000401-00-0118,C06,C21,C19,C16,C12,C10,C04,,,,,,,,,,,,,,,,
000401-00-0121,C14,C22,C06,,,,,,,,,,,,,,,,,,,,
000401-00-0122,C06,C16,C18,C17,C21,C04,C11,,,,,,,,,,,,,,,,
000401-00-0125,C15,C19,C10,C01,C06,,,,,,,,,,,,,,,,,,
000401-00-0127,C03,C05,C21,C16,C17,C18,C22,C23,C06,C07,C08,C09,C11,C13,,,,,,,,,
000401-00-0129,C01,C19,C15,,,,,,,,,,,,,,,,,,,,
000401-00-0130,C19,C01,C22,C10,C15,C20,C13,C12,,,,,,,,,,,,,,,
000401-00-0132,C19,C15,C03,C10,C21,C06,C20,C17,C07,C04,C12,C01,C13,C08,C05,,,,,,,,
000401-00-0134,C01,C12,C19,C20,C10,C13,C15,C03,,,,,,,,,,,,,,,
000401-00-0136,C10,C04,C19,C06,C14,C02,C01,C03,C21,,,,,,,,,,,,,,
000401-00-0139,C10,C15,C02,C21,C19,C01,C11,,,,,,,,,,,,,,,,
000401-00-0140,C10,C19,C14,C15,C03,,,,,,,,,,,,,,,,,,
000401-00-0142,C14,C15,C06,C19,C01,C03,C02,C04,C07,,,,,,,,,,,,,,
000401-00-0145,C14,C21,C06,C22,C04,,,,,,,,,,,,,,,,,,
